Year,MO,OW,FO
2000,137,169,
2001,120,154,303
2002,,181,319
2003,120,162,321
2004,116,155,334
2005,125,154,338
2006,116,147,344
2007,143,170,315
2008,111,149,280
2009,130,173,
2010,126,158,
2011,,166,299
2012,123,158,291
2013,115,155,322
2014,132,165,
2015,97,160,315
2016,,173,336
2017,124,155,
2018,,181,310
2019,115,151,309
2020,125,175,313
2021,98,,316
