Year,MO,OW,FO
2000,,,
2001,110.0,173,
2002,141.0,174,295
2003,116.0,,
2004,146.0,,
2005,121.0,167,301
2006,98.0,164,
2007,,,299
2008,,175,295
2009,149.0,,
2010,103.0,168,310
2011,,,308
2012,,,302
2013,130.0,165,
2014,124.0,169,291
2015,,171,
2016,112.0,171,
2017,128.0,173,294
2018,,169,
2019,105.0,,293
2020,131.0,,294
2021,134.0,,
