Year,MO,OW,FO
2000,153,207,
2001,137,197,
2002,149,202,258.0
2003,117,213,270.0
2004,136,,274.0
2005,151,,279.0
2006,138,194,291.0
2007,144,204,290.0
2008,,203,287.0
2009,,214,267.0
2010,159,,288.0
2011,139,201,267.0
2012,140,,
2013,141,202,
2014,130,,274.0
2015,141,212,272.0
2016,146,204,281.0
2017,136,,288.0
2018,150,205,273.0
2019,136,,290.0
2020,120,197,
2021,156,,
