Year,MO,OW,FO
2000,156,205.0,264.0
2001,160,234.0,270.0
2002,153,,268.0
2003,129,205.0,228.0
2004,162,235.0,247.0
2005,,225.0,267.0
2006,131,212.0,265.0
2007,148,204.0,253.0
2008,,232.0,268.0
2009,149,212.0,272.0
2010,145,204.0,267.0
2011,150,189.0,
2012,143,196.0,
2013,159,,
2014,,225.0,271.0
2015,145,197.0,
2016,,205.0,233.0
2017,156,,267.0
2018,142,,236.0
2019,153,229.0,263.0
2020,,216.0,
2021,153,,246.0
