system:time_start,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2000_interpolate,2001_interpolate,2002_interpolate,2003_interpolate,2004_interpolate,2005_interpolate,2006_interpolate,2007_interpolate,2008_interpolate,2009_interpolate,2010_interpolate,2011_interpolate,2012_interpolate,2013_interpolate,2014_interpolate,2015_interpolate,2016_interpolate,2017_interpolate,2018_interpolate,2019_interpolate,2020_interpolate,2021_interpolate,2022_interpolate
01-23,,0.6400666666666667,,,0.7748846153846154,0.6060555555555556,,0.82774,,0.8404777777777778,0.8950277777777778,0.1538444444444444,0.7227,,,0.8211555555555555,0.5394555555555556,0.8978166666666667,0.6785,0.4861222222222222,0.76734375,,,,0.6400666666666667,,0.7166944444444444,0.7748846153846154,0.6060555555555556,0.83413125,0.82774,0.7632410173160175,0.8404777777777778,0.8950277777777778,0.1538444444444444,0.7227,0.8586041666666666,0.6518,0.8211555555555555,0.5394555555555556,0.8978166666666667,0.6785,0.4861222222222222,,0.7532333333333333,0.8023111111111111
01-24,,,,0.6773111111111111,0.5674333333333333,,,,0.69025,,,0.2515333333333333,0.5766888888888889,0.8589833333333333,,,,0.9838,0.7396277777777778,0.5163,0.7274666666666667,,,,0.5571916666666666,,0.6773111111111111,0.5674333333333333,0.6764777777777777,0.8390441964285714,0.7985666666666666,0.69025,0.801611111111111,0.8934333333333333,0.2515333333333333,0.5766888888888889,0.8589833333333333,0.5699555555555555,0.8154805555555555,0.5632722222222223,0.9838,0.7396277777777778,0.5163,,0.785224074074074,0.7279907407407408
01-25,,0.4743166666666666,,,,,0.83413125,,0.8628285714285714,,,0.2168333333333333,0.7764692307692308,0.6631071428571429,,0.8098055555555556,,0.5019,,,0.7485888888888889,0.8814444444444445,,,0.4743166666666666,,0.7012444444444444,0.6211282051282051,0.7333888888888889,0.83413125,0.6615244444444445,0.8628285714285714,0.621311111111111,0.6440138888888889,0.2168333333333333,0.7764692307692308,0.6631071428571429,0.6292783333333333,0.8098055555555556,0.5394555555555556,0.5019,0.5921759259259259,0.6329074074074075,,0.8814444444444445,0.7983888888888888
01-26,,,,0.7251777777777778,,0.7469,,,0.7381181818181818,0.4800555555555555,,,0.76918125,0.8825500000000001,0.3854,,0.4323666666666667,,,,,0.7209944444444444,,,0.6300416666666666,,0.7251777777777778,0.5674333333333333,0.7469,0.5898545138888889,0.82774,0.7381181818181818,0.4800555555555555,0.3970055555555555,0.17711666666666664,0.76918125,0.8825500000000001,0.3854,0.7183957638888889,0.4323666666666667,0.521225,0.549925,0.5163,,0.7209944444444444,0.6720129767058339
01-27,,0.7857666666666666,,0.5972111111111111,0.5210666666666667,0.7333888888888889,,,0.8611111111111112,0.5434,0.393,0.1374,0.6759,0.8568388888888889,,,0.8118333333333333,,0.3584,,,0.89615,0.8023111111111111,,0.7857666666666666,,0.5972111111111111,0.5210666666666667,0.7333888888888889,0.83413125,0.7194499328449329,0.8611111111111112,0.5434,0.393,0.1374,0.6759,0.8568388888888889,0.6073083333333333,0.6517809027777778,0.8118333333333333,0.6289268518518519,0.3584,0.7479814814814816,,0.89615,0.8023111111111111
01-28,,,,,0.8087111111111112,0.4826833333333333,0.3455777777777777,0.4560111111111111,0.7971,0.8152333333333334,,,,0.6577611111111111,0.8292166666666667,,0.7953571428571429,0.521225,,,0.8677400000000001,0.8759,,,0.7302333333333333,,0.684529012345679,0.8087111111111112,0.4826833333333333,0.3455777777777777,0.4560111111111111,0.7971,0.8152333333333334,0.39500277777777776,0.19435,0.6760840961538461,0.6577611111111111,0.8292166666666667,0.5662675,0.7953571428571429,0.521225,0.549925,0.8173611111111111,,0.8759,0.8003499999999999
01-29,,,,,0.7691,0.4925142857142857,0.8684499999999999,0.8317944444444444,,0.8911733333333333,0.3970055555555555,,,,,0.49375625,,0.8636555555555555,0.7414499999999999,0.8978333333333334,,0.8743166666666666,0.7983888888888888,,0.7674777777777777,,0.6984333333333334,0.7691,0.4925142857142857,0.8684499999999999,0.8317944444444444,0.7651795626331342,0.8911733333333333,0.3970055555555555,0.16962222222222223,0.61159,0.537525,0.5613195238095238,0.49375625,0.8118333333333333,0.8636555555555555,0.7414499999999999,0.8978333333333334,,0.8743166666666666,0.7983888888888888
01-30,,0.7302333333333333,,,0.8350111111111111,,0.83985,,,0.4419222222222222,,,,0.4172888888888889,,,,0.90465,0.4565,0.829811111111111,0.7927,,0.3736777777777778,,0.7302333333333333,,0.6478222222222223,0.8350111111111111,0.6094302906617192,0.83985,0.7543779914529914,0.7971,0.4419222222222222,0.5089694444444444,0.19435,0.6463702777777778,0.4172888888888889,0.6046297619047619,0.45658368055555554,0.8352107142857141,0.90465,0.4565,0.829811111111111,,0.8074870370370371,0.3736777777777778
01-31,,,,,0.3259888888888889,,,0.6769615384615385,,,0.6209333333333333,,0.54728,,,0.4194111111111111,0.8724999999999999,0.5577000000000001,,,,,0.4408285714285714,,0.7864333333333333,,0.6984333333333334,0.3259888888888889,0.56142,0.6988749999999999,0.6769615384615385,0.6828824074074075,0.7101207407407407,0.6209333333333333,0.21957579365079363,0.54728,0.4892166666666667,0.5995104761904761,0.4194111111111111,0.8724999999999999,0.5577000000000001,0.5578203703703704,0.8441851851851853,,0.7732805555555555,0.4408285714285714
02-01,,0.8426333333333333,,,0.8433611111111111,,0.5579,,,,,0.19435,0.7507111111111111,,0.3800428571428571,,0.8377749999999999,,,,,0.6722444444444444,,,0.8426333333333333,,0.738811904761905,0.8433611111111111,0.5122058730158731,0.5579,0.6769615384615385,0.6828824074074075,0.4419222222222222,0.6209333333333333,0.19435,0.7507111111111111,0.4819842592592593,0.3800428571428571,0.41680778769841265,0.8377749999999999,0.8135333333333333,0.46600555555555556,0.8173611111111111,,0.6722444444444444,0.5347453892668178
