system:time_start,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2000_interpolate,2001_interpolate,2002_interpolate,2003_interpolate,2004_interpolate,2005_interpolate,2006_interpolate,2007_interpolate,2008_interpolate,2009_interpolate,2010_interpolate,2011_interpolate,2012_interpolate,2013_interpolate,2014_interpolate,2015_interpolate,2016_interpolate,2017_interpolate,2018_interpolate,2019_interpolate,2020_interpolate,2021_interpolate,2022_interpolate
10-18,,,0.2504727272727273,,,0.0342,,0.2960222222222222,,,0.0362444444444444,,,,0.2036,0.0251461538461538,,0.0258666666666666,,0.0347555555555555,0.0360444444444444,,,0.1088333333333333,0.0351333333333333,0.2504727272727273,0.02955944444444441,,0.0342,0.10353212121212119,0.2960222222222222,0.08580498366013069,0.1265057692307692,0.0362444444444444,0.040238888888888866,0.0370444444444444,0.046060714285714247,0.2036,0.0251461538461538,0.0326416666666666,0.0258666666666666,0.2799483333333333,0.0347555555555555,0.0360444444444444,0.03902222222222215,0.050368055555555534
10-19,,0.0317666666666666,,0.0293111111111111,,0.0205555555555555,,,,,0.0314444444444444,0.0436333333333333,,,,,,,0.20488,0.0448333333333333,,0.0427222222222222,,0.10883333333333331,0.0317666666666666,0.14460944055944056,0.0293111111111111,,0.0205555555555555,0.1183666666666666,0.2544755401234567,0.09204850217864921,0.1480509615384615,0.0314444444444444,0.0436333333333333,0.032566666666666605,0.0524666666666666,0.1566233333333333,0.0287130769230769,0.0371152777777777,0.0349277777777777,0.20488,0.0448333333333333,0.036680555555555494,0.0427222222222222,0.035272222222222184
10-20,,,0.0387461538461538,,,0.0585666666666666,,,,,0.046375,0.0335555555555555,,0.0315,,,0.0326416666666666,0.0439888888888888,0.1306333333333333,,,0.0323222222222222,,0.25798,,0.0387461538461538,0.03114999999999995,,0.0585666666666666,0.1320541666666666,0.24644212962962955,0.08580498366013069,0.1684083333333333,0.046375,0.0335555555555555,0.0370444444444444,0.0315,0.15751666666666664,0.028713076923076904,0.0326416666666666,0.0439888888888888,0.1306333333333333,0.0454194444444444,0.037316666666666595,0.0323222222222222,0.03593611111111107
10-21,,,,0.0329888888888888,,0.03778,0.1183666666666666,,0.1911333333333333,,0.0403611111111111,,,0.0524666666666666,,,,,0.205225,0.0460055555555555,,0.0399777777777777,0.0394833333333333,0.197,,0.032934188034188,0.0329888888888888,,0.03778,0.1183666666666666,0.26250895061728385,0.1911333333333333,0.1684083333333333,0.0403611111111111,0.06360916666666665,0.0370444444444444,0.0524666666666666,0.15751666666666664,0.07498834615384613,0.0415888888888888,0.0354666666666666,0.205225,0.0460055555555555,0.037316666666666595,0.0399777777777777,0.0394833333333333
10-22,,,0.0271222222222222,,,0.0119647058823529,,,,,,,0.0282666666666666,,0.1114333333333333,0.03228,,0.0269444444444444,0.3393,,,,,0.25798,0.043685154320987615,0.0271222222222222,0.036851587301587246,,0.0119647058823529,0.14574166666666663,0.2960222222222222,0.1089222222222222,0.16895813960113956,0.03581722222222221,0.07026777777777775,0.0282666666666666,0.046060714285714247,0.1114333333333333,0.03228,0.07613379629629623,0.0269444444444444,0.3393,0.05557860912698409,0.037316666666666595,0.03902222222222215,0.03659999999999995
10-23,0.197,,,0.0407142857142857,,,,,0.0267111111111111,,,,0.0546,,,,,,,,,0.0380666666666666,0.0337166666666666,0.197,0.0439425308641975,0.34415277777777775,0.0407142857142857,,0.0585666666666666,0.1457416666666666,0.3129333333333333,0.0267111111111111,0.18019547809829056,0.03375555555555555,0.09947866666666665,0.0546,0.041866666666666635,0.1593192857142857,0.1070275,0.07721759259259253,0.0439888888888888,0.205225,0.05340255341880337,0.037952777777777696,0.0380666666666666,0.0337166666666666
10-24,,,0.6611833333333333,,,,,,,0.21625,,0.10698,0.04495,,,0.181775,,,,,0.0385888888888888,,,0.38680000000000003,0.03681666666666665,0.6611833333333333,0.03226547619047615,,0.0585666666666666,0.14574166666666663,0.3129333333333333,0.0895,0.21625,0.03178666666666665,0.10698,0.04495,0.04704999999999995,0.16112190476190474,0.181775,0.0404083333333333,0.09162222222222216,0.13795,0.042735555555555506,0.0385888888888888,0.03961984126984121,0.11853888888888885
10-25,0.5766,,0.0623818181818181,0.0238166666666666,,,0.1731166666666666,,,,0.02715,,,,,0.0386166666666666,0.1586444444444444,,0.0345,,,,,0.5766,0.04342777777777773,0.0623818181818181,0.0238166666666666,,0.062038745098039194,0.1731166666666666,0.2898499382716049,0.0505823529411764,0.19232916666666666,0.02715,0.13119,0.0426861111111111,0.04704999999999995,0.15751666666666664,0.0386166666666666,0.1586444444444444,0.12597037037037032,0.0345,0.042735555555555506,0.07862080439814807,0.03926190476190471,0.0394833333333333
10-26,,,0.06979,0.1481333333333333,0.3314,,,,0.0895,,0.02995,0.1554,0.0404222222222222,0.0416333333333333,,,0.0403666666666666,,0.13795,,,,,0.5246333333333333,,0.06979,0.1481333333333333,0.3314,0.07128235294117645,0.14574166666666663,0.2909823456790123,0.0895,0.1684083333333333,0.02995,0.1554,0.0404222222222222,0.0416333333333333,0.16622666666666663,0.181775,0.0403666666666666,0.10879629629629624,0.13795,0.042735555555555506,0.037952777777777696,0.03902222222222215,0.1827583333333333
10-27,,,0.0275166666666666,,,,,,0.0505823529411764,,,,0.0429944444444444,,,,0.0404083333333333,0.2124555555555555,,,,,,0.5072,,0.0275166666666666,0.1481333333333333,0.3361277777777778,0.16366718954248363,0.1826753086419753,0.2909823456790123,0.0505823529411764,0.1684083333333333,0.0277166666666666,0.1554,0.0429944444444444,0.04704999999999995,0.20155777777777775,0.21175897435897428,0.0404083333333333,0.2124555555555555,0.17665925925925924,0.041141666666666604,0.09253020833333325,0.0432111111111111,0.3318
10-28,,,,,,,,0.3298444444444444,,,,,0.1518222222222222,,,0.2188846153846153,,,,,,,,0.5420666666666667,,0.2232050729517396,0.18022615646258502,0.3361277777777778,,0.15942916666666662,0.3298444444444444,0.05518284313725485,0.21625,0.02995,0.1705363636363636,0.1518222222222222,0.08154613095238092,0.21958266666666665,0.2188846153846153,0.0403666666666666,0.13851111111111106,0.13795,0.06409097222222217,0.0385888888888888,0.04203333333333329,0.26456018518518515
