system:time_start,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2000_interpolate,2001_interpolate,2002_interpolate,2003_interpolate,2004_interpolate,2005_interpolate,2006_interpolate,2007_interpolate,2008_interpolate,2009_interpolate,2010_interpolate,2011_interpolate,2012_interpolate,2013_interpolate,2014_interpolate,2015_interpolate,2016_interpolate,2017_interpolate,2018_interpolate,2019_interpolate,2020_interpolate,2021_interpolate,2022_interpolate
02-05,,0.6561,,,0.8568833333333333,,0.85851,0.8893,0.7510454545454546,,,0.4440555555555555,,0.8462133333333334,,,0.8559833333333333,0.8196,0.5567888888888889,0.8538833333333333,,,,,0.6561,0.5845333333333333,,0.8568833333333333,0.6095222222222223,0.85851,0.8893,0.7510454545454546,0.6214444444444445,0.5174930555555556,0.4440555555555555,0.6767472222222222,0.8462133333333334,0.7918333333333334,0.6915691666666668,0.8559833333333333,0.8196,0.5567888888888889,0.8538833333333333,,0.7609722222222222,0.6888777777777777
02-06,,,,,,,0.8547944444444444,,0.8237,0.6214444444444445,,0.68225,,,,0.83165,0.5159722222222223,,,0.9213666666666668,,0.6488444444444444,0.6627888888888889,,0.6561,0.5794493055555555,0.7348703703703704,0.5949305555555555,0.6893462962962964,0.8547944444444444,0.8654888888888889,0.8237,0.6214444444444445,0.578775,0.68225,0.6547444444444445,0.8253344444444445,0.8407611111111111,0.83165,0.5159722222222223,0.7180808333333333,0.6269374999999999,0.9213666666666668,0.8523111111111111,0.6488444444444444,0.6627888888888889
02-07,,,,,0.3329777777777777,0.7047055555555556,0.3146277777777778,0.8416777777777777,0.4947944444444444,0.7990111111111111,0.4220888888888889,0.58831,0.69875,0.8044555555555556,,0.44295,,,,0.8706,,,,,0.6756347222222222,0.6254875,0.8159666666666667,0.3329777777777777,0.7047055555555556,0.3146277777777778,0.8416777777777777,0.4947944444444444,0.7990111111111111,0.4220888888888889,0.58831,0.69875,0.8044555555555556,0.7918333333333334,0.44295,0.6830916666666667,0.8225875,0.6035972222222222,0.8706,0.7866597916666667,0.6935622222222222,0.7660666666666667
02-08,,0.6785166666666667,0.5334111111111111,,,0.8489944444444444,,0.9062,,0.64785,0.7923222222222223,0.8576266666666666,0.3738777777777778,0.8395166666666667,0.8896888888888889,0.8060333333333334,0.8502111111111111,,,0.8580611111111112,0.8408222222222222,,0.8693444444444445,,0.6785166666666667,0.5334111111111111,0.7504602116402116,0.5949305555555555,0.8489944444444444,0.5828027777777778,0.9062,0.6779648148148149,0.64785,0.7923222222222223,0.8576266666666666,0.3738777777777778,0.8395166666666667,0.8896888888888889,0.8060333333333334,0.8502111111111111,0.8189319444444445,0.6504055555555556,0.8580611111111112,0.8408222222222222,0.6486222222222222,0.8693444444444445
02-09,,0.6922875,,0.8159666666666667,,,0.8509777777777777,0.5634,,,,0.7975333333333333,0.8507833333333333,0.5360666666666667,,0.6686000000000001,0.8794833333333333,0.825575,0.6504055555555556,,0.64673125,,0.8413444444444445,,0.6922875,0.6978777777777778,0.8159666666666667,0.6169703703703704,0.8415472222222222,0.8509777777777777,0.5634,0.7154,0.6591055555555556,0.6408847839506173,0.7975333333333333,0.8507833333333333,0.5360666666666667,0.7461402777777777,0.6686000000000001,0.8794833333333333,0.825575,0.6504055555555556,0.8544166666666667,0.64673125,0.7442155555555556,0.8413444444444445
02-10,,,0.8623444444444445,,0.8429333333333333,0.8341,0.717625,0.8583416666666667,0.7154,,,,,0.4026583333333333,0.6025916666666666,0.7951705882352941,0.8573000000000001,0.816875,,,,0.6484,0.70062,,0.7823770833333333,0.8623444444444445,0.82808,0.8429333333333333,0.8341,0.717625,0.8583416666666667,0.7154,0.6591055555555556,0.6940561111111112,0.7628222222222223,0.7677555555555555,0.4026583333333333,0.6025916666666666,0.7951705882352941,0.8573000000000001,0.816875,0.678136111111111,0.8580611111111112,0.7296343750000001,0.6484,0.70062
02-11,,0.8724666666666667,0.4197,0.8401933333333333,,0.8397333333333333,,0.863,,,,0.7281111111111112,0.6847277777777777,0.6047777777777777,,0.83754,0.84659,0.8100222222222222,0.7058666666666666,0.8345888888888888,0.8125375,0.8460333333333333,0.8996666666666666,,0.8724666666666667,0.4197,0.8401933333333333,0.675,0.8397333333333333,0.7073791666666667,0.863,0.7767875,0.6703611111111111,0.6940561111111112,0.7281111111111112,0.6847277777777777,0.6047777777777777,0.7155499999999999,0.83754,0.84659,0.8100222222222222,0.7058666666666666,0.8345888888888888,0.8125375,0.8460333333333333,0.8996666666666666
02-12,,0.8493555555555555,,0.7326,0.5070666666666667,0.8252555555555555,0.6971333333333334,0.8458777777777777,0.838175,0.6703611111111111,,,0.4263388888888889,,0.8285083333333333,0.80693125,0.5915111111111111,0.7750857142857143,,0.9506,,0.9291777777777778,0.8187,,0.8493555555555555,,0.7326,0.5070666666666667,0.8252555555555555,0.6971333333333334,0.8458777777777777,0.838175,0.6703611111111111,0.8231388888888889,0.7657382716049382,0.4263388888888889,0.6713063636363636,0.8285083333333333,0.80693125,0.5915111111111111,0.7750857142857143,0.7484299999999999,0.9506,0.8125375,0.9291777777777778,0.8187
02-13,,,,0.8023,0.5463,0.87185,0.8515222222222222,,0.845709090909091,,,,,,0.8633833333333333,,,0.8216333333333333,0.7909933333333333,,,0.8380888888888889,0.8141117647058823,,0.7287277777777778,,0.8023,0.5463,0.87185,0.8515222222222222,0.6948388888888888,0.845709090909091,0.7361888888888888,0.8096986111111111,0.7689105555555555,0.7011637566137566,0.645225925925926,0.8633833333333333,0.817290625,0.7147222222222223,0.8216333333333333,0.7909933333333333,0.8715902356902356,0.82136875,0.8380888888888889,0.8141117647058823
02-14,,0.6081,,,0.8269444444444445,,0.7451666666666666,0.5438,,0.8020166666666666,,,,,0.6331875,0.82765,0.8379333333333333,,,,,0.5018769230769231,0.5457777777777777,,0.6081,,0.79915,0.8269444444444445,0.8432125,0.7451666666666666,0.5438,0.5983045454545455,0.8020166666666666,0.78085,0.7689105555555555,0.6847277777777777,0.6301175925925927,0.6331875,0.82765,0.8379333333333333,0.6651555555555555,0.7014050000000001,0.8315923076923077,0.82136875,0.5018769230769231,0.5457777777777777
02-15,,,,0.796,,0.814575,0.9355777777777776,0.8029,0.3509,,,,,,,0.6939888888888889,0.8541411764705882,0.5086777777777778,0.6118166666666667,0.8295818181818182,0.8302,0.8794222222222222,,,0.6976166666666666,,0.796,0.6947761904761905,0.814575,0.9355777777777776,0.8029,0.3509,0.8728083333333333,0.7709549884259259,0.80971,0.6548907407407407,0.6047777777777777,0.8285083333333333,0.6939888888888889,0.8541411764705882,0.5086777777777778,0.6118166666666667,0.8295818181818182,0.8302,0.8794222222222222,0.7900111111111111
02-16,,,,0.7933666666666667,,0.5322777777777777,,,,0.9436,0.8539555555555556,,,,,,0.8351222222222222,,0.5371111111111111,0.8315923076923077,0.60365,0.6463125,,,0.6366666666666667,,0.7933666666666667,0.8110111111111111,0.5322777777777777,0.629761111111111,0.8100722222222222,0.5955958333333333,0.9436,0.8539555555555556,0.802446172839506,0.6548907407407407,0.645225925925926,0.7829013888888888,0.6939888888888889,0.8351222222222222,0.5831611111111111,0.5371111111111111,0.8315923076923077,0.60365,0.6463125,0.6678944444444443
02-17,,,,,,0.8571636363636363,0.3239444444444444,0.8172444444444444,0.8402916666666667,,,0.80971,0.8389222222222222,,,,,,,0.8371222222222222,0.8294777777777778,0.8106722222222222,,,0.6539805555555555,,0.7933666666666667,0.6861,0.8571636363636363,0.3239444444444444,0.8172444444444444,0.8402916666666667,0.8728083333333333,0.7735689907407407,0.80971,0.8389222222222222,0.645225925925926,0.83078,0.6806666666666666,0.8362444444444445,0.47633888888888887,0.6718039947089948,0.8371222222222222,0.8294777777777778,0.8106722222222222,0.6678944444444443
02-18,,0.6652333333333333,,,,,0.3376333333333333,0.7967454545454545,0.4510777777777777,,,0.83123,,,,0.6748333333333333,,,,0.8606111111111111,0.82985,,0.7900111111111111,,0.6652333333333333,,0.7109933333333334,0.8031,0.7402397306397307,0.3376333333333333,0.7967454545454545,0.4510777777777777,0.8362263071895425,0.7693777777777777,0.83123,0.6994111111111111,0.6946469191919192,0.8003530158730159,0.6748333333333333,0.8356833333333333,0.5129933333333334,0.6118166666666667,0.8606111111111111,0.82985,0.7944,0.7900111111111111
02-19,,0.79075,,,0.8110111111111111,,,,0.84897,0.7840722222222223,,0.8105944444444444,0.5599,,0.8521333333333333,0.6731777777777778,,0.444,,,,,,,0.79075,,0.72092,0.8110111111111111,0.8571636363636363,0.5315344444444443,0.822801893939394,0.84897,0.7840722222222223,0.7632351851851852,0.8105944444444444,0.5599,0.734588888888889,0.8521333333333333,0.6731777777777778,0.8362444444444445,0.444,0.6224851851851851,0.8456951132201133,0.7141500000000001,0.8025361111111111,0.7506722222222222
02-20,,,,0.62862,0.4203444444444444,0.8312777777777778,,0.8488583333333333,,,,,0.5227,0.7778,0.83078,0.814238888888889,0.8362444444444445,,,,0.59845,0.7944,,,0.5691527777777777,,0.62862,0.4203444444444444,0.8312777777777778,0.5679888888888889,0.8488583333333333,0.7437713359788359,0.7810066993464053,0.7693777777777777,0.8351444444444445,0.5227,0.7778,0.83078,0.814238888888889,0.8362444444444445,0.52665,0.6224851851851851,0.8522611111111111,0.59845,0.7944,0.7506722222222222
02-21,,0.3475555555555555,,,0.8031,0.8754666666666667,,,,0.7779411764705882,0.6848,0.8596944444444444,0.8310611111111111,0.5531,0.8207333333333333,0.3997666666666666,0.8682555555555556,0.6093,0.827,,0.79095,,,,0.3475555555555555,,0.72092,0.8031,0.8754666666666667,0.6194211111111111,0.7967454545454545,0.8197611111111112,0.7779411764705882,0.6848,0.8596944444444444,0.8310611111111111,0.5531,0.8207333333333333,0.3997666666666666,0.8682555555555556,0.6093,0.827,0.8564361111111112,0.79095,0.7920931386374567,0.7900111111111111
02-22,,,,0.8132199999999999,0.7944222222222223,,0.7983444444444444,,,,,,0.461,,0.8519555555555556,,0.8728777777777778,,0.5033444444444445,,0.85975625,,,,0.5013777777777777,,0.8132199999999999,0.7944222222222223,0.8605611111111111,0.7983444444444444,0.6936180555555556,0.8309418518518519,0.8503205882352941,0.75095,0.7408972222222222,0.461,0.7453916666666667,0.8519555555555556,0.5604878787878788,0.8728777777777778,0.6562574074074073,0.5033444444444445,0.8522611111111111,0.85975625,0.8025361111111111,0.7878388888888891
02-23,,0.6552,,0.7764722222222222,0.8581333333333333,0.8456555555555556,0.7640388888888889,,,0.9227,0.8171,0.6221,0.8323111111111111,,0.4924733333333333,0.7212090909090909,0.8404,,,0.8522611111111111,0.8737111111111111,,0.7113333333333334,,0.6552,,0.7764722222222222,0.8581333333333333,0.8456555555555556,0.7640388888888889,0.83735,0.8240944444444445,0.9227,0.8171,0.6221,0.8323111111111111,0.734588888888889,0.4924733333333333,0.7212090909090909,0.8404,0.8328222222222222,0.7250416666666666,0.8522611111111111,0.8737111111111111,0.807472643097643,0.7113333333333334
02-24,,,,0.8271000000000001,0.8195111111111111,0.8253777777777778,0.6291,0.5383777777777777,0.8197611111111112,0.8271000000000001,,0.6509,,,0.8552,0.8328625,0.8635333333333333,0.8328222222222222,,,0.5915,,0.8199222222222222,,0.7445333333333333,,0.8271000000000001,0.8195111111111111,0.8253777777777778,0.6291,0.5383777777777777,0.8197611111111112,0.8271000000000001,0.8037944444444445,0.6509,0.8238166666666666,0.7840327777777778,0.8552,0.8328625,0.8635333333333333,0.8328222222222222,0.6910555555555555,0.8464708333333333,0.5915,0.7944,0.8199222222222222
02-25,,0.8338666666666666,,0.7695125,,0.7077,0.83156,0.8552333333333333,,0.8699666666666667,0.7904888888888889,,0.8153222222222223,0.9160777777777778,0.86575,0.9012388888888888,0.9746,,,,0.7993,,,,0.8338666666666666,,0.7695125,0.7319148148148148,0.7077,0.83156,0.8552333333333333,0.8240944444444445,0.8699666666666667,0.7904888888888889,0.6221,0.8153222222222223,0.9160777777777778,0.86575,0.9012388888888888,0.9746,0.833131111111111,0.7607127499999999,0.8406805555555555,0.7993,0.7553908970658971,0.8199222222222222
02-26,0.6349,,,,,0.8270888888888889,0.837,,,0.6718500000000001,0.8684,,0.8348083333333334,,,,0.8585666666666667,0.83344,0.8787666666666667,,,,,0.6349,0.8495111111111111,,0.8136819444444444,0.6873555555555555,0.8270888888888889,0.837,0.83735,0.802638888888889,0.6718500000000001,0.8684,0.6270312499999999,0.8348083333333334,0.8774916666666667,0.8626527777777777,0.8540888888888889,0.8585666666666667,0.83344,0.8787666666666667,0.8386499999999999,0.8395666666666667,0.7553908970658971,0.8330000000000001
02-27,,0.8651555555555556,,,0.5181,0.8352555555555555,0.8567388888888889,0.8194666666666667,0.8284277777777778,0.82855,,0.6031624999999999,0.8381444444444445,0.8389055555555556,0.8595555555555555,,0.8477333333333333,0.8217555555555556,0.86364375,,,0.8254818181818182,0.8364555555555555,,0.8651555555555556,,0.8034666666666667,0.5181,0.8352555555555555,0.8567388888888889,0.8194666666666667,0.8284277777777778,0.82855,0.5756,0.6031624999999999,0.8381444444444445,0.8389055555555556,0.8595555555555555,0.8776638888888888,0.8477333333333333,0.8217555555555556,0.86364375,0.8456424603174602,0.8395666666666667,0.8254818181818182,0.8364555555555555
02-28,,,,0.8444333333333334,,,,,0.7597277777777778,0.6377,0.2828,,,0.3513266666666667,0.8488090909090908,0.8540888888888889,0.8659777777777777,0.8141,,0.8291,,,0.8426222222222223,,0.8348544973544973,,0.8444333333333334,0.6873555555555555,0.8001157407407408,0.8513529411764706,0.7796566666666667,0.7597277777777778,0.6377,0.2828,0.71768125,0.8238166666666666,0.3513266666666667,0.8488090909090908,0.8540888888888889,0.8659777777777777,0.8141,0.8667533333333334,0.8291,0.82483125,0.6781742424242425,0.8426222222222223
02-29,,,,,0.8566111111111111,,,,0.8055888888888889,,,,,,,,0.86943125,,,,0.8798333333333334,,,,0.746097533154676,,0.8034666666666667,0.8566111111111111,0.8270888888888889,0.8779505446623094,0.7352333333333334,0.8055888888888889,0.7813077777777778,0.6989178210678212,0.71768125,0.8176571367521369,0.8389055555555556,0.8566267676767676,0.8310131944444444,0.86943125,0.7814000000000001,0.8354823611111112,0.8386499999999999,0.8798333333333334,0.6781742424242425,0.84835
03-01,,,0.8496777777777778,0.7625,,,0.8513529411764706,,,,,0.8322,,,0.8644444444444445,,,0.7487,0.8667533333333334,0.8482,0.82483125,,0.8540777777777778,,0.843719425547997,0.8496777777777778,0.7625,0.80469,0.8096101851851851,0.8513529411764706,0.7036650000000001,0.8225333333333333,0.76019,0.685,0.8322,0.812718376068376,0.6398133333333333,0.8644444444444445,0.8116,0.8678315972222223,0.7487,0.8667533333333334,0.8482,0.82483125,0.7096333333333333,0.8540777777777778
03-02,,,,0.6941055555555555,,,,0.651,0.8394777777777778,,,,,,0.9192666666666668,0.8079375,,,0.77605,,0.7433111111111111,0.5308666666666667,0.8614166666666667,0.7764833333333334,0.843719425547997,0.6588888888888889,0.6941055555555555,0.8306505555555556,0.8259875,0.9257598039215686,0.651,0.8394777777777778,0.76685,0.5822888888888889,0.7991791666666668,0.828601923076923,0.7769316666666667,0.9192666666666668,0.8079375,0.8751489583333334,0.7872444444444444,0.77605,0.8719555555555556,0.7433111111111111,0.5308666666666667,0.8614166666666667
