system:time_start,B1,B1_interpolate,B1_phenology
2016-01-02,0.6960666666666667,0.6960666666666667,
2016-01-03,,,
2016-01-04,,,
2016-01-05,,,
2016-01-06,,,
2016-01-07,,,
2016-01-08,,0.7084104166666667,
2016-01-09,,0.7185493055555557,
2016-01-10,,0.7084104166666667,
2016-01-11,,0.7134796296296297,
2016-01-12,,,
2016-01-13,0.7815875,0.7815875,
2016-01-14,,0.7084104166666667,
2016-01-15,,0.7084104166666667,
2016-01-16,,0.7084104166666667,
2016-01-17,0.6352333333333333,0.6352333333333333,
2016-01-18,,0.699011111111111,
2016-01-19,0.7627888888888888,0.7627888888888888,
2016-01-20,0.7264666666666667,0.7264666666666667,
2016-01-21,,0.7098395833333333,
2016-01-22,0.6932125,0.6932125,
2016-01-23,,0.7356006944444444,
2016-01-24,0.777988888888889,0.777988888888889,
2016-01-25,,0.774688888888889,
2016-01-26,0.7713888888888889,0.7713888888888889,
2016-01-27,,0.7502887343338979,
2016-01-28,,0.7633466872241762,
2016-01-29,,0.7685435678900613,
2016-01-30,,0.7633466872241762,
2016-01-31,,0.7579889094463985,
2016-02-01,,0.7553044855594635,
2016-02-02,,0.7569322156608842,
2016-02-03,0.7553044855594635,0.7553044855594635,
2016-02-04,,0.7499522427797318,
2016-02-05,,0.7499522427797318,
2016-02-06,0.7446,0.7446,
2016-02-07,,0.7499522427797318,
2016-02-08,,0.7727495624886619,
2016-02-09,,0.7802747812443309,
2016-02-10,0.8008991249773237,0.8008991249773237,
2016-02-11,0.7878000000000001,0.7878000000000001,
2016-02-12,,0.8224831218495571,
2016-02-13,,0.8008991249773237,
2016-02-14,,0.8550148148148148,
2016-02-15,,0.8027397070328395,
2016-02-16,0.9597444444444444,0.9597444444444444,
2016-02-17,0.8175,0.8175,
2016-02-18,,0.8027397070328395,
2016-02-19,0.787979414065679,0.787979414065679,
2016-02-20,,,
2016-02-21,,,
2016-02-22,,,
2016-02-23,,,
2016-02-24,,,
2016-02-25,,,
2016-02-26,,,
2016-02-27,,0.8027397070328395,
2016-02-28,,0.840293138021893,
2016-02-29,,,
2016-03-01,,,
2016-03-02,,,
2016-03-03,,,
2016-03-04,,,
2016-03-05,,,
2016-03-06,,,
2016-03-07,0.8785,0.8785,
2016-03-08,0.8544,0.8544,
2016-03-09,0.6571222222222223,0.6571222222222223,
2016-03-10,,0.8171011111111112,
2016-03-11,,0.8120100000000001,
2016-03-12,,0.7757166666666666,
2016-03-13,,0.8171011111111112,
2016-03-14,,0.8171011111111112,
2016-03-15,0.8943111111111111,0.8943111111111111,
2016-03-16,0.8826777777777778,0.8826777777777778,
2016-03-17,0.8756777777777778,0.8756777777777778,
2016-03-18,0.8592555555555556,0.8592555555555556,
2016-03-19,0.8008,0.8008,
2016-03-20,,0.6953833571910858,
2016-03-21,0.5899667143821716,0.5899667143821716,
2016-03-22,0.8156774850452647,0.8156774850452647,
2016-03-23,,0.7545082598282309,
2016-03-24,,0.8290637425226324,
2016-03-25,,0.8440699121802462,
2016-03-26,0.84245,0.84245,
2016-03-27,,0.8585361111111112,
2016-03-28,0.8746222222222222,0.8746222222222222,
2016-03-29,,0.8658305555555555,
2016-03-30,,0.8643333333333333,
2016-03-31,0.8643333333333333,0.8643333333333333,
2016-04-01,0.8422000000000001,0.8422000000000001,
2016-04-02,,0.8778333333333334,
2016-04-03,0.9134666666666666,0.9134666666666666,
2016-04-04,,0.8907722222222222,
2016-04-05,0.8680777777777777,0.8680777777777777,
2016-04-06,0.6126358429802788,0.6126358429802788,
2016-04-07,0.8131661505413056,0.8131661505413056,
2016-04-08,0.8955888888888889,0.8955888888888889,
2016-04-09,0.8575666666666667,0.8575666666666667,
2016-04-10,0.8936888888888889,0.8936888888888889,
2016-04-11,,0.8895944444444444,
2016-04-12,0.8855,0.8855,
2016-04-13,0.7850333333333334,0.7850333333333334,
2016-04-14,0.8280974361631606,0.8280974361631606,
2016-04-15,,0.8280974361631606,
2016-04-16,,0.8396820514149137,
2016-04-17,0.8512666666666667,0.8512666666666667,
2016-04-18,,0.7794382251935571,
2016-04-19,,0.8396820514149137,
2016-04-20,,0.7199756882556532,
2016-04-21,,0.7593941518238613,
2016-04-22,0.5492662462764316,0.5492662462764316,MO
2016-04-23,0.7593941518238613,0.7593941518238613,
2016-04-24,,0.7431224505873865,
2016-04-25,,0.7619289472012293,MO
2016-04-26,,0.7644637425785973,
2016-04-27,,0.7644637425785973,
2016-04-28,,0.7468975957733404,
2016-04-29,0.7695333333333333,0.7695333333333333,
2016-04-30,0.7741666666666667,0.7741666666666667,
2016-05-01,,0.7439222222222222,
2016-05-02,0.7136777777777777,0.7136777777777777,
2016-05-03,,0.6705277777777778,
