Year,MO,OW,FO
2000,154.0,201.0,
2001,,211.0,
2002,152.0,214.0,258.0
2003,148.0,211.0,
2004,154.0,,
2005,145.0,216.0,
2006,138.0,203.0,
2007,150.0,201.0,
2008,148.0,215.0,
2009,156.0,206.0,
2010,,200.0,
2011,,197.0,
2012,145.0,202.0,
2013,142.0,204.0,
2014,,224.0,
2015,153.0,201.0,
2016,149.0,197.0,275.0
2017,145.0,211.0,275.0
2018,149.0,219.0,276.0
2019,143.0,200.0,249.0
2020,147.0,202.0,
2021,148.0,202.0,
2022,150.0,202.0,
