Year,MO,OW,FO
2000,,216.0,
2001,,232.0,
2002,157.0,,267.0
2003,,222.0,
2004,153.0,241.0,
2005,,216.0,
2006,,210.0,266.0
2007,151.0,216.0,
2008,,219.0,267.0
2009,160.0,208.0,
2010,,204.0,
2011,,195.0,
2012,151.0,212.0,
2013,161.0,219.0,
2014,,222.0,
2015,151.0,204.0,
2016,,205.0,
2017,154.0,224.0,265.0
2018,154.0,225.0,
2019,155.0,223.0,
2020,,204.0,
2021,,212.0,
2022,160.0,218.0,
