Year,MO,OW,FO
2000,159.0,207.0,268.0
2001,,234.0,
2002,154.0,,272.0
2003,124.0,,
2004,161.0,235.0,248.0
2005,,224.0,264.0
2006,131.0,214.0,262.0
2007,,202.0,255.0
2008,,229.0,253.0
2009,148.0,211.0,
2010,155.0,,266.0
2011,150.0,187.0,
2012,143.0,196.0,
2013,159.0,,
2014,,222.0,
2015,146.0,196.0,
2016,140.0,204.0,235.0
2017,157.0,,266.0
2018,141.0,214.0,237.0
2019,,,266.0
2020,152.0,215.0,
2021,152.0,,
2022,156.0,224.0,
