Year,MO,OW,FO
2000,150.0,223.0,284.0
2001,,217.0,281.0
2002,,208.0,277.0
2003,148.0,211.0,279.0
2004,148.0,220.0,272.0
2005,138.0,220.0,279.0
2006,133.0,198.0,289.0
2007,144.0,209.0,
2008,,215.0,287.0
2009,149.0,211.0,288.0
2010,148.0,210.0,
2011,150.0,209.0,289.0
2012,144.0,209.0,
2013,137.0,200.0,
2014,152.0,213.0,
2015,142.0,211.0,290.0
2016,140.0,202.0,281.0
2017,,,288.0
2018,145.0,207.0,287.0
2019,145.0,,289.0
2020,148.0,214.0,
2021,148.0,211.0,
2022,144.0,206.0,287.0
