Year,MO,OW,FO
2000,147.0,227.0,248.0
2001,,241.0,
2002,140.0,207.0,
2003,,205.0,252.0
2004,148.0,,257.0
2005,139.0,197.0,257.0
2006,,219.0,241.0
2007,147.0,203.0,250.0
2008,,205.0,
2009,141.0,236.0,252.0
2010,147.0,227.0,254.0
2011,145.0,194.0,244.0
2012,139.0,223.0,
2013,148.0,,
2014,151.0,239.0,
2015,144.0,214.0,250.0
2016,145.0,210.0,
2017,154.0,,
2018,141.0,232.0,254.0
2019,140.0,207.0,
2020,143.0,212.0,255.0
2021,148.0,209.0,
2022,138.0,233.0,255.0
