Year,MO,OW,FO
2000,,187.0,301.0
2001,118.0,,
2002,143.0,191.0,305.0
2003,120.0,174.0,313.0
2004,,202.0,
2005,129.0,179.0,307.0
2006,,174.0,303.0
2007,135.0,186.0,304.0
2008,130.0,187.0,306.0
2009,141.0,194.0,
2010,,193.0,316.0
2011,140.0,182.0,313.0
2012,,184.0,297.0
2013,,182.0,304.0
2014,,186.0,308.0
2015,130.0,191.0,
2016,,181.0,
2017,129.0,180.0,306.0
2018,129.0,181.0,305.0
2019,140.0,203.0,301.0
2020,,195.0,308.0
2021,,185.0,314.0
2022,113.0,184.0,304.0
