Year,MO,OW,FO
2000,146.0,190.0,
2001,144.0,,
2002,138.0,189.0,287.0
2003,130.0,190.0,
2004,142.0,197.0,
2005,129.0,,
2006,112.0,198.0,281.0
2007,133.0,189.0,271.0
2008,126.0,182.0,
2009,130.0,,287.0
2010,,180.0,
2011,128.0,188.0,288.0
2012,131.0,181.0,
2013,132.0,190.0,
2014,125.0,184.0,277.0
2015,119.0,185.0,287.0
2016,121.0,181.0,
2017,123.0,181.0,
2018,138.0,184.0,279.0
2019,126.0,182.0,
2020,141.0,192.0,
2021,137.0,191.0,
2022,116.0,183.0,288.0
