Year,MO,OW,FO
2000,147.0,198.0,306.0
2001,122.0,,320.0
2002,144.0,197.0,303.0
2003,123.0,178.0,309.0
2004,144.0,202.0,304.0
2005,132.0,195.0,317.0
2006,140.0,183.0,310.0
2007,146.0,198.0,306.0
2008,133.0,189.0,307.0
2009,,198.0,313.0
2010,144.0,193.0,
2011,139.0,190.0,312.0
2012,137.0,189.0,310.0
2013,138.0,188.0,308.0
2014,127.0,187.0,311.0
2015,138.0,194.0,307.0
2016,141.0,190.0,
2017,124.0,186.0,
2018,141.0,193.0,303.0
2019,139.0,198.0,306.0
2020,145.0,192.0,306.0
2021,138.0,190.0,320.0
2022,135.0,,307.0
