Year,MO,OW,FO
2000,153.0,201,
2002,129.0,196,
2003,,183,
2004,149.0,207,
2005,142.0,196,
2006,121.0,193,
2007,147.0,187,
2008,142.0,187,
2009,,192,
2010,,184,
2011,,196,
2012,138.0,193,
2013,148.0,199,
2014,146.0,193,
2015,,194,
2016,154.0,192,
2017,155.0,203,
2018,148.0,196,
2019,137.0,186,
2020,,201,
2021,,180,
2022,157.0,201,
