Year,MO,OW,FO
2000,129.0,,
2001,138.0,,
2002,138.0,187.0,
2003,,188.0,
2004,115.0,174.0,
2005,126.0,181.0,
2006,117.0,177.0,
2007,,186.0,
2008,116.0,176.0,299.0
2009,130.0,188.0,
2010,118.0,165.0,
2011,140.0,178.0,
2012,108.0,170.0,
2013,,,302.0
2014,134.0,182.0,
2015,138.0,,290.0
2016,115.0,185.0,
2017,124.0,189.0,
2018,,191.0,
2019,110.0,172.0,288.0
2020,113.0,,281.0
2021,112.0,181.0,
2022,138.0,179.0,
