Year,MO,OW,FO
2000,105.0,162.0,
2001,116.0,,
2002,121.0,155.0,
2003,,137.0,
2004,116.0,155.0,
2005,,137.0,
2006,115.0,152.0,
2007,,152.0,
2008,126.0,153.0,
2009,128.0,161.0,
2011,,147.0,
2012,117.0,156.0,
2013,,128.0,
2014,128.0,162.0,
2015,,172.0,
2016,99.0,124.0,
2017,115.0,158.0,
2018,128.0,156.0,
2019,110.0,144.0,
2020,102.0,152.0,
2021,104.0,134.0,
2022,,159.0,257.0
