Year,MO,OW,FO
2000,156.0,,
2002,156.0,207.0,
2003,142.0,,
2006,,,
2007,151.0,,
2008,147.0,,
2009,145.0,209.0,
2010,146.0,,
2011,146.0,,
2012,144.0,202.0,
2013,152.0,,
2014,,,
2015,162.0,,
2016,151.0,,
2017,135.0,,
2018,152.0,,
2019,143.0,,
2020,153.0,,
2021,157.0,193.0,
2022,149.0,,
