Year,MO,OW,FO
2001,146,204,
2002,145,221,266.0
2003,143,213,
2004,146,213,282.0
2005,132,205,
2006,132,187,278.0
2007,140,184,
2008,127,178,276.0
2009,143,205,
2010,113,181,
2011,152,184,273.0
2012,135,189,
2013,135,197,
2014,146,192,
2015,132,205,
2016,139,194,
2017,127,186,
2018,145,198,281.0
2019,146,201,
2020,149,198,
2021,144,208,
2022,120,214,
