Year,MO,OW,FO
2000,156.0,,
2001,144.0,206.0,278.0
2002,154.0,214.0,
2003,141.0,205.0,
2004,133.0,216.0,
2005,149.0,210.0,
2006,162.0,210.0,
2007,,212.0,
2008,148.0,207.0,
2009,145.0,199.0,
2010,131.0,197.0,
2011,,219.0,
2012,145.0,200.0,
2013,143.0,207.0,
2014,152.0,216.0,
2015,157.0,,
2016,159.0,206.0,
2017,153.0,217.0,
2018,,206.0,
2019,138.0,194.0,
2020,155.0,203.0,
2021,145.0,,
2022,148.0,227.0,
