Year,MO,OW,FO
2000,138.0,168.0,342.0
2001,121.0,,
2002,,181.0,323.0
2003,126.0,161.0,308.0
2004,117.0,151.0,340.0
2005,,154.0,334.0
2006,117.0,144.0,
2007,140.0,170.0,
2008,113.0,151.0,
2009,129.0,172.0,
2010,,155.0,
2011,,164.0,282.0
2012,125.0,157.0,
2013,101.0,155.0,323.0
2014,131.0,165.0,
2015,97.0,160.0,
2016,150.0,171.0,
2017,125.0,150.0,
2018,,187.0,311.0
2019,116.0,148.0,309.0
2020,136.0,175.0,
2021,,127.0,317.0
2022,116.0,164.0,331.0
