Year,MO,OW,FO
2000,144.0,,
2002,158.0,210.0,249.0
2003,157.0,211.0,
2004,162.0,,
2005,144.0,,
2006,158.0,,
2008,159.0,,
2009,,,
2010,155.0,,
2011,153.0,,
2013,153.0,,
2018,152.0,,237.0
2020,150.0,,
2021,146.0,,236.0
2022,156.0,,
