Year,MO,OW,FO
2000,151.0,,272.0
2001,125.0,,
2002,131.0,,
2003,126.0,,
2004,149.0,,
2005,121.0,,274.0
2006,137.0,,282.0
2007,141.0,,284.0
2008,130.0,,281.0
2009,125.0,,
2010,140.0,,
2011,123.0,,
2012,138.0,,286.0
2013,144.0,,
2015,126.0,,
2016,,,281.0
2017,127.0,,278.0
2018,148.0,,286.0
2019,137.0,,285.0
2020,142.0,,281.0
2021,118.0,,
