Year,MO,OW,FO
2000,155.0,,
2001,141.0,,
2002,147.0,202.0,257.0
2003,,212.0,270.0
2004,146.0,,270.0
2005,145.0,,264.0
2006,137.0,194.0,287.0
2007,143.0,207.0,
2008,,203.0,286.0
2009,149.0,212.0,266.0
2010,145.0,209.0,287.0
2011,142.0,201.0,273.0
2012,141.0,,
2013,140.0,196.0,
2014,131.0,213.0,
2015,141.0,209.0,276.0
2016,147.0,203.0,279.0
2017,134.0,,287.0
2018,147.0,202.0,272.0
2019,133.0,,289.0
2020,140.0,198.0,
2021,154.0,209.0,
2022,139.0,195.0,
