Year,MO,OW,FO
2000,159.0,,
2003,113.0,,
2004,160.0,,
2005,128.0,,
2006,160.0,247.0,270.0
2007,146.0,241.0,
2008,,251.0,
2009,153.0,,
2011,145.0,,
2012,121.0,,276.0
2013,138.0,,
2014,,,270.0
2015,161.0,,
2016,153.0,238.0,286.0
2017,143.0,,
2018,157.0,,
2019,125.0,232.0,
2020,160.0,,
2022,141.0,250.0,
