Year,MO,OW,FO
2000,154.0,208.0,285.0
2001,,206.0,
2002,152.0,207.0,
2003,,205.0,263.0
2004,156.0,221.0,285.0
2005,,210.0,
2006,141.0,205.0,
2007,147.0,211.0,
2008,146.0,208.0,286.0
2009,146.0,204.0,288.0
2010,155.0,203.0,
2011,150.0,203.0,
2012,145.0,212.0,
2013,150.0,211.0,275.0
2014,,,
2015,151.0,,
2016,152.0,205.0,
2017,,202.0,287.0
2018,154.0,199.0,283.0
2019,139.0,199.0,
2020,150.0,205.0,271.0
2021,152.0,205.0,
2022,,202.0,
