Year,MO,OW,FO
2000,148,,
2001,131,,276.0
2004,147,,
2006,119,181.0,
2007,148,199.0,
2008,134,202.0,
2009,143,,291.0
2010,138,204.0,
2011,138,,
2013,133,186.0,
2014,133,,
2015,127,,281.0
2017,126,,
2018,150,,
2019,142,,
2020,144,193.0,
2021,140,,
2022,125,,
