Year,MO,OW,FO
2000,,171,
2001,109.0,,
2002,122.0,191,323
2003,119.0,186,
2004,142.0,,
2005,98.0,164,338
2006,101.0,172,
2007,,195,
2008,113.0,173,
2009,,196,
2010,89.0,172,
2011,122.0,170,
2012,,194,
2013,102.0,170,326
2014,125.0,182,
2015,,222,
2016,120.0,190,
2017,129.0,175,
2018,,206,334
2019,142.0,,
2020,124.0,178,
2021,123.0,189,
