Year,MO,OW,FO
2000,139,168.0,327.0
2001,,154.0,
2002,,180.0,325.0
2003,125,,322.0
2004,,154.0,
2005,123,152.0,337.0
2006,116,147.0,
2007,,171.0,279.0
2008,103,149.0,
2009,125,172.0,
2010,124,156.0,
2011,,166.0,
2012,127,158.0,277.0
2013,112,156.0,321.0
2014,123,165.0,269.0
2015,99,,
2016,,174.0,337.0
2017,,148.0,327.0
2018,,184.0,
2019,116,151.0,
2020,110,177.0,
2021,,129.0,316.0
