Year,MO,OW,FO
2000,147.0,192,276.0
2001,,198,283.0
2002,140.0,190,287.0
2003,131.0,191,
2004,142.0,198,
2005,129.0,206,
2006,117.0,199,286.0
2007,117.0,189,269.0
2008,125.0,181,
2009,129.0,212,263.0
2010,,180,
2011,129.0,188,289.0
2012,131.0,180,
2013,131.0,185,
2014,125.0,183,285.0
2015,119.0,181,287.0
2016,119.0,181,
2017,122.0,181,
2018,139.0,190,279.0
2019,126.0,186,
2020,141.0,196,
2021,139.0,189,
