Year,MO,OW,FO
2000,122.0,,
2001,107.0,,334.0
2002,126.0,179,
2003,112.0,,346.0
2004,,171,
2005,,161,
2006,99.0,148,342.0
2007,,173,331.0
2008,108.0,,
2009,122.0,,
2010,,152,
2011,113.0,185,342.0
2012,121.0,165,346.0
2013,108.0,173,332.0
2014,125.0,177,339.0
2015,95.0,164,
2016,,174,344.0
2017,127.0,,341.0
2018,128.0,,337.0
2019,108.0,,348.0
2020,,173,
2021,,158,
