Year,MO,OW,FO
2000,,201.0,
2001,,212.0,
2002,152.0,214.0,
2003,149.0,210.0,
2004,,,275
2005,146.0,216.0,
2006,,204.0,272
2007,151.0,204.0,
2009,156.0,212.0,
2010,153.0,199.0,
2011,139.0,197.0,
2012,146.0,202.0,
2013,,205.0,274
2014,,225.0,
2015,153.0,201.0,
2016,150.0,199.0,277
2017,144.0,205.0,269
2018,147.0,,274
2019,141.0,,266
2020,147.0,202.0,259
2021,147.0,202.0,
