Year,MO,OW,FO
2000,,225.0,
2002,,215.0,
2003,142,,
2006,,201.0,
2008,148,,
2009,144,208.0,
2010,146,,
2011,143,219.0,
2012,144,,
2013,144,216.0,
2014,142,223.0,
2015,,,292.0
2016,147,,
2017,,211.0,
2018,153,,
2019,,,
2020,146,,
2021,,214.0,
