Year,MO,OW,FO
2000,150,225,287
2001,,219,281
2002,134,209,
2003,151,226,288
2004,149,220,272
2005,137,222,281
2006,131,199,285
2007,145,209,
2008,121,215,
2009,149,215,287
2010,148,207,
2011,147,209,
2012,145,206,
2013,136,201,
2014,153,210,287
2015,140,223,283
2016,138,201,
2017,126,193,288
2018,147,207,287
2019,147,,289
2020,150,216,
2021,150,215,
