Year,MO,OW,FO
2000,149.0,,
2001,,,281.0
2002,133.0,,
2003,123.0,,
2004,130.0,,285.0
2006,137.0,,283.0
2007,140.0,,
2008,126.0,,273.0
2009,126.0,,287.0
2010,140.0,,
2011,122.0,,
2012,135.0,,
2013,145.0,,
2014,117.0,,287.0
2015,122.0,,
2016,,,287.0
2017,119.0,,280.0
2018,148.0,,282.0
2019,136.0,,283.0
2020,146.0,,279.0
