Year,MO,OW,FO
2000,154,209,286
2001,,204,
2002,151,207,
2003,142,207,
2004,157,221,287
2005,,209,
2006,141,206,
2007,145,211,
2008,147,208,288
2009,145,203,286
2010,156,205,
2011,151,204,287
2012,144,211,
2013,147,213,
2014,,,
2015,150,,
2016,151,206,
2017,,201,287
2018,152,203,
2019,138,,
2020,150,207,285
2021,153,204,
