Year,MO,OW,FO
2000,160,,
2001,141,,
2002,143,,
2003,115,,
2004,165,,
2006,122,,269.0
2007,149,244.0,
2008,124,,
2011,142,,
2012,118,,
2015,152,,275.0
2016,117,239.0,290.0
2017,121,,
2019,125,244.0,
2020,150,,
