system:time_start,B1,B1_interpolate
2015-02-06,0.432,0.432
2015-02-07,,0.4295777777777777
2015-02-08,0.4271555555555555,0.4271555555555555
2015-02-09,0.6507333333333333,0.6507333333333333
2015-02-10,,0.6987041666666667
2015-02-11,0.746675,0.746675
2015-02-12,,0.7338708333333333
2015-02-13,0.7210666666666666,0.7210666666666666
2015-02-14,,0.6283753844281037
2015-02-15,0.5356841021895409,0.5356841021895409
2015-02-16,0.5899666666666666,0.5899666666666666
2015-02-17,,0.6351333333333333
2015-02-18,0.6803,0.6803
2015-02-19,,0.6938777777777778
2015-02-20,,0.7255499999999999
2015-02-21,0.7662,0.7662
2015-02-22,,0.7255499999999999
2015-02-23,0.6849,0.6849
2015-02-24,,0.7255499999999999
2015-02-25,,0.7404076719576719
2015-02-26,,0.7255499999999999
2015-02-27,,0.7595037037037037
2015-02-28,,0.7956
2015-03-01,,0.7699488496546842
2015-03-02,0.7956,0.7956
2015-03-03,,0.7980111111111111
2015-03-04,0.8004222222222223,0.8004222222222223
2015-03-05,,0.7989911111111112
2015-03-06,0.79756,0.79756
2015-03-07,,0.7728915260957082
2015-03-08,,0.7550147657150692
2015-03-09,,0.7550147657150692
2015-03-10,0.7124695314301385,0.7124695314301385
2015-03-11,,0.7303684982393792
2015-03-12,,0.7124695314301385
2015-03-13,,0.6695417657150692
2015-03-14,,0.6125597657150692
2015-03-15,,0.6992732526571789
2015-03-16,,0.7124695314301385
2015-03-17,,0.7584152973504366
2015-03-18,0.51265,0.51265
2015-03-19,0.8371555555555555,0.8371555555555555
2015-03-20,0.8215314105851309,0.8215314105851309
2015-03-21,0.8874777777777778,0.8874777777777778
2015-03-22,,0.8874777777777778
2015-03-23,,0.8980703703703704
2015-03-24,0.9175,0.9175
2015-03-25,0.8892333333333333,0.8892333333333333
2015-03-26,0.8023069829993777,0.8023069829993777
2015-03-27,,0.8612949202590517
2015-03-28,,0.8473257137219111
2015-03-29,0.8923444444444445,0.8923444444444445
2015-03-30,,0.8512072065315864
2015-03-31,,0.8512072065315864
2015-04-01,,0.8832888888888889
2015-04-02,,0.8677856116209081
2015-04-03,0.8139514614284038,0.8139514614284038
2015-04-04,0.8832888888888889,0.8832888888888889
2015-04-05,0.8479517244974772,0.8479517244974772
2015-04-06,0.9024666666666666,0.9024666666666666
2015-04-07,0.9292222222222222,0.9292222222222222
2015-04-08,,0.9083833333333333
2015-04-09,0.8875444444444445,0.8875444444444445
2015-04-10,0.8677,0.8677
2015-04-11,0.7934711398792267,0.7934711398792267
2015-04-12,0.7907503913606916,0.7907503913606916
2015-04-13,0.8433586042457157,0.8433586042457157
2015-04-14,0.8967444444444445,0.8967444444444445
2015-04-15,,0.873788888888889
2015-04-16,0.8508333333333333,0.8508333333333333
2015-04-17,0.8766666666666667,0.8766666666666667
2015-04-18,,0.7473183120531914
2015-04-19,0.6179699574397161,0.6179699574397161
2015-04-20,,0.7705933120531914
2015-04-21,0.9232166666666668,0.9232166666666668
2015-04-22,,0.9231750000000001
2015-04-23,0.9231333333333334,0.9231333333333334
2015-04-24,,0.9128398148148148
2015-04-25,,0.8922111111111111
2015-04-26,0.8922111111111111,0.8922111111111111
2015-04-27,0.7954800327618917,0.7954800327618917
2015-04-28,0.6566998452039865,0.6566998452039865
2015-04-29,,0.8613199032127857
2015-04-30,,0.84214726401927
2015-05-01,,0.8613199032127857
2015-05-02,,0.7711665937262214
2015-05-03,,0.8613199032127857
2015-05-04,,0.8359183525111431
2015-05-05,,0.8613199032127857
2015-05-06,,0.8500026286773091
2015-05-07,0.8613199032127857,0.8613199032127857
2015-05-08,0.8898333333333334,0.8898333333333334
2015-05-09,0.8953111111111111,0.8953111111111111
2015-05-10,0.9157777777777778,0.9157777777777778
2015-05-11,0.8986222222222222,0.8986222222222222
2015-05-12,0.8755125,0.8755125
2015-05-13,0.6839273151302337,0.6839273151302337
2015-05-14,0.7026801126586066,0.7026801126586066
2015-05-15,0.8322555555555555,0.8322555555555555
2015-05-16,,0.8627722222222223
2015-05-17,0.8932888888888889,0.8932888888888889
2015-05-18,0.8952111111111111,0.8952111111111111
2015-05-19,0.8896888888888889,0.8896888888888889
2015-05-20,0.8835888888888889,0.8835888888888889
2015-05-21,0.6051222222222222,0.6051222222222222
2015-05-22,,0.7197449850536055
2015-05-23,0.8343677478849888,0.8343677478849888
2015-05-24,,0.7300394294980499
2015-05-25,0.6257111111111111,0.6257111111111111
2015-05-26,0.8652333333333333,0.8652333333333333
2015-05-27,0.9078111111111112,0.9078111111111112
2015-05-28,0.8620777777777777,0.8620777777777777
2015-05-29,0.4785555555555555,0.4785555555555555
2015-05-30,,0.7606944444444445
2015-05-31,,0.677861111111111
2015-06-01,,0.7311788888888888
2015-06-02,0.8771666666666667,0.8771666666666667
2015-06-03,0.8211666666666666,0.8211666666666666
2015-06-04,0.8011444444444444,0.8011444444444444
2015-06-05,0.7897,0.7897
2015-06-06,0.7614222222222222,0.7614222222222222
2015-06-07,0.7565400238123807,0.7565400238123807
2015-06-08,,0.7565400238123807
2015-06-09,,0.7219755674617458
2015-06-10,,0.6874111111111111
2015-06-11,0.6874111111111111,0.6874111111111111
2015-06-12,0.6870777777777778,0.6870777777777778
2015-06-13,,0.5945673470384545
2015-06-14,0.5020569162991312,0.5020569162991312
2015-06-15,0.4338572176498525,0.4338572176498525
2015-06-16,0.4327974150194062,0.4327974150194062
2015-06-17,0.4200222222222222,0.4200222222222222
2015-06-18,0.4299222222222222,0.4299222222222222
2015-06-19,0.3347125,0.3347125
