MO,OW,FO,Year
156,198,294,2000
154,202,,2001
154,226,274,2002
145,215,286,2003
147,209,288,2004
141,205,286,2005
147,185,287,2006
150,190,283,2007
155,183,272,2008
153,213,282,2009
142,186,255,2010
160,,,2011
144,189,277,2012
147,199,275,2013
156,199,288,2014
,210,291,2015
149,194,290,2016
138,187,273,2017
155,202,281,2018
156,,,2019
154,200,,2020
154,210,258,2021
