MO,OW,FO,Year
155,,289,2000
148,202,264,2001
146,188,298,2002
143,189,295,2003
150,,284,2004
138,202,295,2005
124,183,297,2006
147,190,278,2007
136,184,,2008
142,,293,2009
137,190,296,2011
139,183,298,2012
121,183,279,2014
129,180,291,2015
129,183,298,2016
119,181,298,2017
146,,268,2018
135,177,266,2019
150,191,257,2020
149,190,,2021
