MO,OW,FO,Year
161,212.0,,2000
168,206.0,,2001
142,189.0,,2003
155,212.0,,2004
169,,,2005
,191.0,,2006
155,200.0,,2007
152,195.0,,2008
149,206.0,262.0,2009
151,211.0,258.0,2010
152,,,2011
162,198.0,,2012
154,200.0,294.0,2013
154,215.0,,2014
168,228.0,279.0,2015
,211.0,,2016
152,211.0,302.0,2017
158,220.0,302.0,2018
147,210.0,291.0,2019
156,218.0,300.0,2020
165,184.0,304.0,2021
