MO,OW,FO,Year
164,217,277,2000
151,204,275,2001
160,219,267,2002
164,232,280,2003
159,225,,2004
158,224,264,2005
151,207,282,2006
154,213,272,2007
153,214,286,2008
159,218,265,2009
154,210,270,2010
153,206,,2011
155,207,271,2012
153,205,,2013
157,228,285,2014
151,214,276,2015
158,207,283,2016
,,,2017
156,220,283,2018
146,217,288,2019
161,214,255,2020
161,218,,2021
