MO,OW,FO,Year
158,198,303.0,2000
134,183,302.0,2001
155,198,,2002
130,186,300.0,2003
155,205,295.0,2004
139,192,314.0,2005
148,182,319.0,2006
153,199,,2007
141,193,283.0,2008
148,194,316.0,2009
152,198,321.0,2010
148,193,294.0,2011
149,188,310.0,2012
149,193,315.0,2013
135,188,312.0,2014
150,196,,2015
157,190,315.0,2016
139,182,305.0,2017
154,199,,2018
152,209,313.0,2019
153,194,322.0,2020
145,185,322.0,2021
