MO,OW,FO,Year
153,196,293,2000
167,,289,2001
149,196,294,2002
164,,,2003
148,189,284,2004
142,196,284,2005
,,,2006
150,199,298,2007
137,203,,2008
151,,291,2009
135,194,284,2010
145,,301,2011
158,,301,2012
140,185,305,2013
152,192,293,2014
130,179,288,2015
143,191,297,2016
135,182,290,2017
153,195,292,2018
146,187,294,2019
143,194,297,2020
,195,291,2021
