MO,OW,FO,Year
160,,302,2000
138,185,306,2001
142,196,300,2002
140,193,309,2003
155,202,,2004
146,193,313,2005
157,,300,2007
131,191,,2008
154,197,298,2009
142,188,313,2010
150,191,311,2011
154,196,301,2012
154,196,308,2013
138,192,,2014
156,203,291,2015
156,196,315,2016
139,,296,2017
158,200,,2018
146,191,307,2019
155,195,307,2020
152,193,305,2021
