MO,OW,FO,Year
163,216,,2000
151,203,287.0,2001
156,209,,2002
167,223,262.0,2003
165,229,,2004
158,221,275.0,2005
151,202,292.0,2006
161,214,293.0,2007
156,211,262.0,2008
166,225,275.0,2009
159,210,,2010
148,203,284.0,2011
154,213,289.0,2012
149,207,299.0,2013
140,217,280.0,2014
152,213,,2015
157,202,,2016
137,207,,2017
157,211,282.0,2018
148,,,2019
163,209,260.0,2020
160,220,295.0,2021
