MO,OW,FO,Year
163,217.0,272,2000
168,235.0,264,2001
166,227.0,265,2002
,,269,2003
161,247.0,277,2004
156,225.0,269,2005
,212.0,272,2006
160,218.0,,2007
156,209.0,265,2008
161,209.0,,2009
157,206.0,263,2010
,197.0,270,2011
157,216.0,277,2012
171,222.0,,2013
165,223.0,274,2014
164,209.0,266,2015
161,206.0,270,2016
,226.0,272,2017
156,226.0,256,2018
157,217.0,258,2019
160,205.0,262,2020
159,215.0,,2021
