MO,OW,FO,Year
139,184,302,2000
142,185,280,2001
144,187,307,2002
144,185,,2003
119,178,278,2004
136,184,,2005
127,184,,2006
153,185,306,2007
120,173,,2008
139,181,,2009
121,167,303,2010
144,,299,2011
117,172,308,2012
125,174,306,2013
142,184,307,2014
136,182,297,2015
131,,297,2016
139,196,,2017
157,,,2018
122,171,281,2019
124,188,271,2020
146,190,,2021
