MO,OW,FO,Year
153,167.0,,2000
123,151.0,313,2001
125,164.0,,2003
125,,335,2004
124,153.0,280,2005
123,147.0,,2006
154,169.0,318,2007
113,146.0,,2008
127,175.0,325,2009
135,150.0,,2010
146,161.0,,2011
110,151.0,333,2013
129,164.0,279,2014
105,157.0,321,2015
162,177.0,,2016
120,153.0,,2017
168,183.0,321,2018
111,150.0,299,2019
122,174.0,324,2020
