MO,OW,FO,Year
158,,289,2000
114,161.0,309,2001
125,,,2003
147,185.0,,2004
133,,307,2005
103,160.0,,2006
143,,299,2007
,178.0,303,2008
,,323,2009
97,177.0,309,2010
137,175.0,318,2011
121,,299,2012
128,162.0,,2013
134,,297,2014
125,169.0,301,2015
136,,293,2017
133,169.0,295,2018
148,,300,2019
127,,299,2020
141,180.0,322,2021
