MO,OW,FO,Year
157,198,276.0,2000
155,186,278.0,2001
153,,220.0,2002
149,197,286.0,2003
151,197,289.0,2004
139,207,283.0,2005
129,189,288.0,2006
149,,276.0,2007
148,190,266.0,2008
153,,260.0,2009
142,182,241.0,2010
143,158,192.0,2011
142,,,2012
148,163,221.0,2013
155,,288.0,2014
131,178,220.0,2015
156,172,289.0,2016
134,172,266.0,2017
155,195,,2018
155,188,210.0,2019
154,184,275.0,2020
152,182,281.0,2021
