MO,OW,FO,Year
160,204,285,2000
164,214,271,2001
158,219,254,2002
158,214,266,2003
156,,268,2004
157,217,,2005
157,204,265,2006
156,216,236,2008
163,205,267,2009
160,201,287,2010
,202,283,2011
156,207,288,2012
152,208,278,2013
163,231,247,2014
158,205,243,2015
157,201,270,2016
153,206,275,2017
156,222,276,2018
151,195,258,2019
163,206,268,2020
157,206,,2021
