MO,OW,FO,Year
155,215.0,241,2000
,248.0,255,2001
149,207.0,227,2002
156,211.0,255,2003
152,239.0,250,2004
147,,264,2005
156,218.0,249,2006
156,208.0,246,2007
156,,,2008
155,235.0,252,2009
156,228.0,243,2010
154,198.0,258,2011
149,229.0,265,2012
155,,,2013
159,243.0,,2014
152,216.0,,2015
155,213.0,237,2016
,,,2017
152,225.0,,2018
148,208.0,253,2019
151,198.0,248,2020
155,212.0,223,2021
