MO,OW,FO,Year
157,,299,2000
142,182.0,294,2001
151,,312,2002
,188.0,349,2003
143,191.0,351,2004
148,194.0,315,2005
138,184.0,347,2006
155,205.0,302,2007
131,178.0,312,2008
150,189.0,301,2009
145,185.0,322,2010
142,,347,2011
151,193.0,,2012
153,200.0,307,2013
137,183.0,353,2014
153,192.0,,2015
153,200.0,313,2016
143,186.0,,2017
155,195.0,310,2018
127,172.0,,2019
159,192.0,,2020
