MO,OW,FO,Year
175,190.0,,2000
,180.0,,2001
153,192.0,295,2002
165,185.0,298,2003
154,,,2004
136,197.0,,2005
144,181.0,,2006
149,197.0,301,2007
171,191.0,291,2009
144,186.0,312,2011
155,185.0,,2012
,181.0,296,2013
165,182.0,296,2014
153,193.0,,2015
156,185.0,303,2016
,177.0,,2017
145,191.0,304,2019
155,190.0,295,2020
