system:time_start,B1,B1_interpolate,B1_phenology
2019-01-01,0.7949666666666667,0.7949666666666667,
2019-01-02,0.8027555555555556,0.8027555555555556,
2019-01-03,,0.7949666666666667,
2019-01-04,,0.7951050925925927,
2019-01-05,0.7757375,0.7757375,
2019-01-06,0.8068222222222222,0.8068222222222222,
2019-01-07,,0.8068222222222222,
2019-01-08,,0.8280240740740741,
2019-01-09,0.8638,0.8638,
2019-01-10,,0.81345,
2019-01-11,0.7631,0.7631,
2019-01-12,,0.756,
2019-01-13,0.7489,0.7489,
2019-01-14,0.7232777777777778,0.7232777777777778,
2019-01-15,,0.7557111111111111,
2019-01-16,0.7881444444444444,0.7881444444444444,
2019-01-17,,0.7403916666666667,
2019-01-18,,0.7227638198146115,
2019-01-19,,0.7557111111111111,
2019-01-20,,0.6981283513422366,
2019-01-21,,0.7318833333333333,
2019-01-22,,0.7064939008948244,
2019-01-23,0.5894739429155985,0.5894739429155985,
2019-01-24,0.7167666666666667,0.7167666666666667,
2019-01-25,,0.7318833333333333,
2019-01-26,0.747,0.747,
2019-01-27,,0.7394416666666667,
2019-01-28,,0.7248095712101649,
2019-01-29,,0.747,
2019-01-30,,0.7761180555555556,
2019-01-31,,0.7761180555555556,
2019-02-01,,0.7832761834033163,
2019-02-02,0.765425,0.765425,
2019-02-03,,0.8159291666666667,
2019-02-04,0.8664333333333334,0.8664333333333334,
2019-02-05,,0.8293949074074073,
2019-02-06,,0.8058222222222222,
2019-02-07,0.8058222222222222,0.8058222222222222,
2019-02-08,0.7123093728406089,0.7123093728406089,
2019-02-09,,0.7705179390950178,
2019-02-10,,0.7528657975314156,
2019-02-11,0.7934222222222223,0.7934222222222223,
2019-02-12,,0.7567626732512126,
2019-02-13,,0.7567626732512126,
2019-02-14,,0.7934222222222223,
2019-02-15,,0.7812168898295384,
2019-02-16,0.724,0.724,
2019-02-17,0.8199333333333333,0.8199333333333333,
2019-02-18,0.8106222222222222,0.8106222222222222,
2019-02-19,0.7703555555555556,0.7703555555555556,
2019-02-20,,0.8137277777777778,
2019-02-21,,0.8137277777777778,
2019-02-22,,0.7703555555555556,
2019-02-23,0.8571,0.8571,
2019-02-24,0.7521239884906346,0.7521239884906346,
2019-02-25,0.7420578533172607,0.7420578533172607,
2019-02-26,,0.7651455933252971,
2019-02-27,0.7882333333333333,0.7882333333333333,
2019-02-28,,0.7882333333333333,
2019-03-01,,0.8112555555555556,
2019-03-02,0.8342777777777778,0.8342777777777778,
2019-03-03,,0.7993991483923829,
2019-03-04,,0.811428888888889,
2019-03-05,,0.8201711111111111,
2019-03-06,,0.8337888888888889,
2019-03-07,,0.811428888888889,
2019-03-08,,0.8206333333333333,
2019-03-09,,0.8097633744855968,
2019-03-10,0.8333,0.8333,
2019-03-11,0.7251111111111112,0.7251111111111112,
2019-03-12,0.8306666666666667,0.8306666666666667,
2019-03-13,,0.792137037037037,
2019-03-14,,0.8206333333333333,
2019-03-15,0.8206333333333333,0.8206333333333333,
2019-03-16,0.8155,0.8155,
2019-03-17,0.7057333333333333,0.7057333333333333,
2019-03-18,,0.792137037037037,
2019-03-19,,0.7849966666666667,
2019-03-20,,0.76295,
2019-03-21,,0.76637,
2019-03-22,,0.7668444444444444,
2019-03-23,0.8201666666666666,0.8201666666666666,
2019-03-24,0.7761555555555556,0.7761555555555556,
2019-03-25,0.7668444444444444,0.7668444444444444,
2019-03-26,,0.7668444444444444,
2019-03-27,,0.7273857109186825,
2019-03-28,0.7374963001992967,0.7374963001992967,
2019-03-29,0.6778163881123066,0.6778163881123066,
2019-03-30,,0.7565338590668308,
2019-03-31,,0.7565338590668308,
2019-04-01,,0.8455069444444445,
2019-04-02,,0.8092905115017818,
2019-04-03,0.8542888888888889,0.8542888888888889,
2019-04-04,,0.8455069444444445,
2019-04-05,,0.8486555555555556,
2019-04-06,0.836725,0.836725,
2019-04-07,0.8486555555555556,0.8486555555555556,
2019-04-08,0.8275666666666667,0.8275666666666667,
2019-04-09,0.841925,0.841925,
2019-04-10,,0.8252013888888889,
2019-04-11,0.8084777777777777,0.8084777777777777,
2019-04-12,,0.7745273039738336,
2019-04-13,0.7405768301698896,0.7405768301698896,
2019-04-14,0.6132605241805315,0.6132605241805315,
2019-04-15,0.6396666666666666,0.6396666666666666,
2019-04-16,,0.7140772642958574,
2019-04-17,,0.6396666666666666,
2019-04-18,,0.7573428584134136,
2019-04-19,,0.7642238171471489,
2019-04-20,0.8335,0.8335,
2019-04-21,,0.7988619085735744,
2019-04-22,0.7642238171471489,0.7642238171471489,
2019-04-23,,0.7642238171471489,
2019-04-24,,0.7434952419069079,
2019-04-25,0.7227666666666667,0.7227666666666667,
2019-04-26,,0.7475333333333334,
2019-04-27,,0.7227666666666667,
2019-04-28,0.7723,0.7723,
2019-04-29,0.7087975170877244,0.7087975170877244,
2019-04-30,0.5623801972293854,0.5623801972293854,
2019-05-01,0.5828888888888889,0.5828888888888889,
2019-05-02,0.5096888888888889,0.5096888888888889,
2019-05-03,0.5004333333333333,0.5004333333333333,
2019-05-04,,0.5093550874692533,
2019-05-05,,0.4847325531894961,
2019-05-06,,0.4883058865228294,
2019-05-07,0.4690317730456591,0.4690317730456591,
2019-05-08,,0.4936658865228295,
2019-05-09,,0.4936658865228295,
2019-05-10,0.5183,0.5183,
2019-05-11,,0.4936658865228295,
2019-05-12,,0.5012614817871539,
2019-05-13,,0.5050592794193162,
2019-05-14,,0.5157721464806223,
2019-05-15,0.4918185588386323,0.4918185588386323,
2019-05-16,,0.5271179798139557,
