system:time_start,2017,2018,2019,2020,2021,2022
01-01,NaN,NaN,NaN,NaN,NaN,NaN
01-02,NaN,NaN,NaN,NaN,NaN,NaN
01-03,NaN,NaN,NaN,NaN,NaN,NaN
01-04,NaN,NaN,NaN,NaN,NaN,NaN
01-05,NaN,NaN,NaN,NaN,NaN,NaN
01-06,NaN,NaN,NaN,NaN,NaN,NaN
01-07,NaN,NaN,NaN,NaN,NaN,NaN
01-08,NaN,NaN,NaN,NaN,NaN,NaN
01-09,NaN,NaN,NaN,NaN,NaN,NaN
01-10,NaN,NaN,NaN,NaN,NaN,NaN
01-11,NaN,NaN,NaN,NaN,NaN,NaN
01-12,NaN,NaN,NaN,NaN,NaN,NaN
01-13,NaN,NaN,NaN,NaN,NaN,NaN
01-14,NaN,NaN,NaN,NaN,NaN,NaN
01-15,NaN,NaN,NaN,NaN,NaN,NaN
01-16,NaN,NaN,NaN,NaN,NaN,NaN
01-17,NaN,NaN,NaN,NaN,NaN,NaN
01-18,NaN,NaN,NaN,NaN,NaN,NaN
01-19,NaN,NaN,NaN,NaN,NaN,NaN
01-20,NaN,NaN,NaN,NaN,NaN,NaN
01-21,NaN,NaN,NaN,NaN,NaN,NaN
01-22,NaN,NaN,NaN,NaN,NaN,NaN
01-23,NaN,NaN,NaN,NaN,NaN,NaN
01-24,NaN,NaN,NaN,NaN,NaN,NaN
01-25,NaN,NaN,NaN,NaN,NaN,NaN
01-26,NaN,NaN,NaN,NaN,NaN,NaN
01-27,NaN,NaN,NaN,NaN,NaN,NaN
01-28,NaN,NaN,NaN,NaN,NaN,NaN
01-29,NaN,NaN,NaN,NaN,NaN,NaN
01-30,NaN,NaN,NaN,NaN,NaN,NaN
01-31,NaN,NaN,NaN,NaN,NaN,NaN
02-01,NaN,NaN,NaN,NaN,NaN,NaN
02-02,NaN,NaN,NaN,NaN,0.3224375,NaN
02-03,NaN,NaN,0.5319222222222222,NaN,NaN,NaN
02-04,0.4198875,NaN,NaN,0.5492,NaN,0.5430333333333334
02-05,0.5707222222222222,NaN,0.5589444444444445,NaN,0.7979333333333334,NaN
02-06,NaN,0.867376923076923,0.9145944444444445,NaN,NaN,0.6921
02-07,0.7309333333333333,0.54298,NaN,0.8550277777777777,NaN,0.5869875
02-08,0.87415,0.5226777777777778,0.6057777777777777,NaN,NaN,0.8326777777777777
02-09,0.6845,0.7164384615384616,NaN,NaN,0.44989999999999997,0.8503733333333333
02-10,0.8223777777777778,NaN,0.48078235294117644,0.8986999999999999,0.8804777777777778,0.8286
02-11,0.8282642857142857,NaN,NaN,NaN,0.8566111111111111,0.83187
02-12,0.8359277777777778,0.7758888888888889,0.685675,0.8087777777777778,0.8570666666666666,0.7924666666666667
02-13,0.8573928571428572,0.7732714285714286,0.83535,0.8659857142857142,0.9007499999999999,0.8387375
02-14,NaN,0.8292625,NaN,0.8404555555555555,0.8530444444444445,0.6580555555555555
02-15,NaN,0.811,0.8160499999999999,0.62272,0.8586055555555555,NaN
02-16,NaN,NaN,0.8024,NaN,0.7179222222222222,NaN
02-17,NaN,0.82499375,0.8513777777777778,NaN,NaN,NaN
02-18,0.7681117647058824,NaN,0.8567666666666667,0.8303666666666667,0.8214611111111111,0.6864777777777777
02-19,0.7935222222222222,NaN,0.85685,0.84392,0.710809090909091,0.7985222222222222
02-20,0.6824307692307692,0.6193166666666666,0.8404833333333334,0.51735,NaN,0.8534125
02-21,NaN,0.8234333333333334,0.8597333333333333,0.8178777777777778,NaN,0.7663
02-22,0.7394307692307692,0.8487333333333333,NaN,0.8577400000000001,0.8394055555555555,0.8427125
02-23,NaN,0.8003375,0.8559866666666667,0.8363833333333333,0.86412,NaN
02-24,0.85615,NaN,0.8329230769230769,0.8580941176470588,0.6572888888888889,NaN
02-25,0.7057,0.8426777777777777,NaN,NaN,0.8139,NaN
02-26,0.8463727272727273,0.5781444444444445,NaN,0.7972555555555556,NaN,0.8216666666666667
02-27,0.8369222222222222,0.4195,0.6722400000000001,0.8131625,NaN,0.8308875
02-28,NaN,0.7719117647058823,0.8569785714285715,0.8141555555555555,NaN,NaN
02-29,,,,0.776,,
03-01,0.80519375,0.8559555555555556,0.8313,0.7990333333333334,0.8475277777777778,0.54202
03-02,NaN,0.8483444444444445,NaN,0.7283999999999999,0.8726333333333334,0.857688888888889
03-03,0.63605,NaN,NaN,0.81955,NaN,0.8644555555555555
03-04,NaN,0.860575,0.8716,NaN,0.870275,NaN
03-05,NaN,NaN,0.6965111111111111,0.8955500000000001,NaN,NaN
03-06,NaN,NaN,0.5768428571428571,NaN,NaN,NaN
03-07,NaN,NaN,NaN,NaN,NaN,0.62445
03-08,NaN,0.954911111111111,NaN,0.83875,NaN,0.74857
03-09,NaN,0.8688222222222222,NaN,0.8851411764705882,NaN,NaN
03-10,0.8775625,NaN,0.8485444444444444,0.8755111111111111,0.8763888888888889,0.5449
03-11,0.8835555555555555,0.8989882352941176,0.8951277777777777,0.888225,0.9050909090909091,0.8832785714285715
03-12,0.8626,0.6810666666666667,0.89665,NaN,0.8873611111111112,0.8912466666666666
