system:time_start,2017,2018,2019,2020,2021,2022
03-13,NaN,0.9059,0.9317500000000001,0.8856666666666667,0.8854875,NaN
03-14,0.6964923076923076,0.9071125,0.8769666666666667,0.6787888888888889,0.89995,0.88935
03-15,NaN,0.9185666666666666,0.8912384615384615,0.7537666666666667,NaN,NaN
03-16,NaN,NaN,0.6840222222222222,0.882,0.8980285714285714,NaN
03-17,NaN,0.9054916666666667,0.8933714285714286,0.9603,NaN,0.9050307692307692
03-18,NaN,NaN,0.835825,0.8892625,0.90516,0.88845
03-19,NaN,NaN,NaN,0.8930250000000001,0.8973222222222222,0.80613
03-20,0.894225,0.90054,NaN,NaN,NaN,0.9156666666666666
03-21,0.9133888888888889,0.5216888888888889,NaN,NaN,NaN,0.8348722222222222
03-22,NaN,0.9117222222222222,0.8875454545454545,0.7918785714285714,0.8997499999999999,0.8952
03-23,0.9014,0.90984,0.89898,0.8787,0.8993249999999999,0.8016888888888889
03-24,0.9047555555555555,0.9052,0.8775727272727273,NaN,0.8879333333333334,NaN
03-25,0.8969,0.8878125,NaN,NaN,NaN,NaN
03-26,0.8967,NaN,NaN,NaN,0.9136666666666666,NaN
03-27,0.9064181818181818,0.8958222222222222,0.9143833333333333,NaN,0.8844333333333334,0.89928
03-28,0.9111411764705882,NaN,0.8781222222222222,NaN,NaN,0.9416875
03-29,0.90371,NaN,NaN,NaN,NaN,NaN
03-30,0.8753555555555556,0.9429666666666667,0.7567666666666667,0.8701,NaN,0.9072
03-31,NaN,0.9042277777777777,0.9182555555555556,NaN,NaN,0.9119333333333334
04-01,NaN,NaN,NaN,0.90305,0.8733,0.9041111111111111
04-02,0.8076,NaN,0.7828642857142857,NaN,0.9020999999999999,0.9141555555555556
04-03,NaN,NaN,0.8449266666666666,NaN,0.9233166666666667,0.9010555555555555
04-04,NaN,0.8589777777777777,0.8928666666666667,NaN,0.897988888888889,0.6563111111111111
04-05,0.9058142857142857,0.9171416666666666,NaN,0.9134222222222222,0.9129117647058823,NaN
04-06,NaN,NaN,0.9048944444444444,0.9184055555555556,0.9178375,NaN
04-07,NaN,NaN,0.90584,NaN,0.9083777777777777,NaN
04-08,NaN,0.9035555555555556,0.9073222222222223,NaN,NaN,NaN
04-09,NaN,0.7567944444444444,NaN,NaN,NaN,0.831425
04-10,NaN,0.9096,NaN,0.9298470588235295,NaN,0.8974666666666666
04-11,0.9138909090909091,0.9422222222222222,0.7279,0.9322277777777778,0.9055933333333334,NaN
04-12,0.9235555555555556,0.9072833333333333,NaN,0.9271,0.9217428571428572,0.9098666666666667
04-13,0.9095533333333333,NaN,0.8833444444444445,0.9154777777777778,0.9120722222222222,NaN
04-14,0.9220705882352941,0.9214333333333333,0.90062,0.8804764705882353,NaN,0.9112888888888889
04-15,0.9269111111111111,0.9201444444444444,0.8823833333333333,0.9136611111111111,0.6527000000000001,NaN
04-16,0.9104888888888889,0.9001444444444444,0.9184611111111111,0.9233,NaN,NaN
04-17,0.9237166666666666,0.9414333333333333,0.8673307692307692,0.9188882352941177,0.9143,0.8231375
04-18,0.7700611111111111,NaN,0.9378944444444445,0.9161222222222223,NaN,0.9156533333333333
04-19,0.9180111111111111,0.9211142857142858,0.9162666666666667,0.9594699999999999,0.7917230769230769,NaN
04-20,0.9072388888888889,0.91425,NaN,NaN,NaN,0.8910666666666667
04-21,NaN,0.9218000000000001,0.8994333333333333,0.82646,0.9402,0.8886700000000001
04-22,0.9308076923076923,0.9192222222222222,0.82165,NaN,1.0345,NaN
04-23,0.9145333333333333,0.9095555555555556,NaN,NaN,0.8319,0.9207941176470589
04-24,0.9248,0.8845,0.7276285714285714,0.93480625,NaN,0.9214444444444444
04-25,NaN,0.9197176470588235,0.92132,0.92477,0.9195470588235294,0.9313714285714285
04-26,0.9273555555555555,0.9268222222222222,0.9318333333333333,0.90942,NaN,0.9107111111111111
04-27,0.83955,0.9366722222222222,0.7242529411764705,0.7766,0.9201166666666667,NaN
04-28,0.9191666666666667,0.9314444444444444,0.6576333333333333,0.94330625,0.9303222222222222,0.9199555555555555
04-29,0.8892333333333333,0.9226166666666666,0.9400888888888889,0.6529,NaN,0.92825
04-30,NaN,0.95791875,1.090325,0.9359388888888889,0.9304833333333333,0.9187611111111111
05-01,0.9307176470588235,0.9365888888888889,NaN,0.9252944444444444,0.9247916666666667,0.9207166666666666
05-02,0.8594666666666667,0.9485444444444444,0.9071277777777778,NaN,0.9416888888888889,0.9087272727272727
05-03,0.9313,NaN,0.9285222222222222,NaN,0.9883799999999999,0.9215222222222222
05-04,0.91104,0.9254066666666667,NaN,0.95019375,NaN,0.9254277777777777
05-05,0.9309222222222222,0.9515388888888889,0.8855,NaN,NaN,NaN
05-06,NaN,0.93677,0.9407277777777778,0.9990235294117648,NaN,NaN
05-07,0.9825777777777778,0.9418,NaN,NaN,NaN,0.9116111111111111
05-08,NaN,0.9293166666666667,0.9239666666666666,0.9341333333333334,NaN,0.9086
05-09,0.93454,0.37676666666666664,0.7052944444444444,0.9396055555555556,NaN,NaN
05-10,0.53995,NaN,0.6133666666666667,0.9309055555555555,NaN,0.9098111111111111
05-11,NaN,0.9431666666666667,NaN,0.7961111111111111,0.9355,NaN
05-12,0.9356111111111111,0.6063000000000001,NaN,0.90028,NaN,0.9077833333333334
05-13,NaN,0.9404333333333333,NaN,NaN,0.9356833333333333,0.9014055555555556
05-14,0.9358666666666666,NaN,NaN,NaN,0.8691888888888889,0.9016111111111111
05-15,0.8400722222222222,NaN,NaN,NaN,NaN,NaN
05-16,0.9016363636363636,NaN,0.9027999999999999,NaN,NaN,NaN
05-17,0.75817,0.9329222222222222,NaN,NaN,0.8184055555555556,0.8960166666666667
05-18,0.9258142857142857,0.9427888888888889,0.8466615384615385,NaN,0.9367277777777778,0.8741833333333333
05-19,0.6584111111111112,0.9050285714285714,NaN,NaN,0.8636999999999999,0.8611800000000001
05-20,NaN,NaN,NaN,NaN,NaN,0.8443555555555555
05-21,NaN,NaN,NaN,NaN,0.9235666666666666,0.7625833333333333
05-22,0.49773333333333336,NaN,NaN,0.9514777777777778,0.9280444444444444,NaN
05-23,NaN,NaN,0.9303777777777777,NaN,0.712175,NaN
05-24,NaN,NaN,0.9324055555555556,NaN,NaN,NaN
05-25,NaN,NaN,0.9051666666666667,NaN,0.9391166666666667,0.9204222222222223
05-26,NaN,0.75295,NaN,0.9385388888888889,0.9414384615384616,0.8905166666666666
05-27,NaN,0.9496611111111111,0.8950499999999999,NaN,0.83569,0.8713176470588235
05-28,NaN,0.8599611111111112,NaN,NaN,0.8552333333333333,NaN
05-29,NaN,NaN,NaN,NaN,0.8593333333333333,NaN
05-30,0.39092857142857146,NaN,NaN,0.627875,NaN,0.8868111111111111
05-31,NaN,0.9424444444444444,NaN,0.9472923076923077,NaN,0.7405777777777778
06-01,NaN,NaN,NaN,NaN,0.9438,0.7503555555555556
06-02,0.34660588235294115,NaN,NaN,NaN,NaN,0.8370166666666666
06-03,0.3373333333333334,0.9250111111111111,NaN,NaN,NaN,0.7934333333333333
06-04,NaN,0.9435666666666667,NaN,NaN,0.9031222222222222,NaN
06-05,NaN,0.951811111111111,0.8426888888888889,NaN,NaN,0.710025
06-06,NaN,0.8930882352941176,0.82,NaN,0.9929,NaN
06-07,0.3341,0.8341333333333333,0.40626666666666666,NaN,0.9119222222222222,0.3549
06-08,0.36565555555555557,0.8733764705882353,0.44935555555555556,0.8923277777777777,NaN,0.47155555555555556
06-09,0.3416470588235294,0.7689,NaN,0.8731111111111111,0.86316,NaN
06-10,NaN,0.7191888888888889,NaN,0.8011181818181818,0.8659611111111111,0.7077875
06-11,NaN,NaN,0.6122222222222222,0.40312,0.8357277777777777,NaN
06-12,NaN,0.2259,0.5111888888888889,NaN,0.8273846153846154,0.5769142857142857
06-13,0.2258,0.35984444444444447,0.5211833333333333,NaN,NaN,0.41365555555555555
06-14,0.3097888888888889,NaN,0.34215555555555555,0.5463166666666667,0.65976,0.17392307692307693
06-15,0.4275,0.1798,0.305,0.44420000000000004,0.2599,0.23478888888888888
06-16,NaN,0.16238125,0.3135428571428571,0.35514999999999997,0.4330277777777778,0.23695
06-17,0.37566666666666665,0.33115714285714287,0.4366,0.3094,NaN,0.18370555555555557
06-18,0.39767142857142856,0.207,NaN,0.212125,0.22540000000000002,0.21541666666666667
06-19,NaN,0.208,0.15996470588235295,0.27946666666666664,0.3398375,0.2074888888888889
06-20,NaN,0.18412941176470587,NaN,0.23184444444444444,0.218025,0.19321666666666668
06-21,0.44972,0.1793,0.08346666666666666,0.22755555555555557,NaN,0.21935
06-22,0.4126666666666667,0.17574615384615386,0.24636363636363637,0.16434,NaN,0.27905882352941175
06-23,0.41912941176470586,0.16705555555555557,0.22369999999999998,0.21525555555555556,NaN,NaN
06-24,NaN,0.1446,0.2465,0.4648,NaN,0.24195882352941175
06-25,NaN,0.2068111111111111,0.20607333333333333,0.2146875,0.2992,0.2361
06-26,0.3611611111111111,NaN,0.09935,0.18355555555555556,0.4988166666666667,0.35968333333333335
06-27,0.35305555555555557,0.1768,0.2547,0.19071428571428573,0.2695666666666667,NaN
06-28,0.29222777777777775,NaN,0.21727222222222223,0.15846666666666667,0.2729666666666667,NaN
06-29,0.31114166666666665,0.27776,0.16050555555555557,0.1331,0.129525,0.1733222222222222
06-30,0.3675777777777778,NaN,NaN,0.20501875,0.1342125,0.2640235294117647
07-01,0.3395222222222222,0.4441333333333333,NaN,0.24788333333333334,0.25294444444444447,0.24942
07-02,0.2732222222222222,0.5256555555555555,0.1289611111111111,0.19442222222222222,0.38648,NaN
07-03,0.2515,0.6008388888888889,0.15787058823529412,0.08082222222222223,NaN,0.428975
07-04,0.2238777777777778,0.6478,0.34249444444444443,0.34111111111111114,0.3876777777777778,0.15766666666666668
07-05,0.22945294117647058,0.632,0.30210000000000004,NaN,0.39805,0.4489944444444444
07-06,0.2085625,0.6585428571428571,0.3452222222222222,0.31555555555555553,0.29331111111111113,0.5079111111111111
07-07,0.1465,NaN,NaN,0.4551,0.5177333333333334,0.4508388888888889
07-08,NaN,0.4080615384615385,NaN,NaN,0.5379277777777778,0.4299588235294118
07-09,0.013330769230769231,0.4966272727272727,NaN,0.3817375,0.307,0.40626111111111113
07-10,0.010172222222222223,0.47096,NaN,0.5749857142857143,0.3823944444444444,0.39059444444444447
07-11,-0.001,0.5048555555555555,NaN,NaN,0.41985555555555554,0.39335
07-12,0.013729411764705882,0.4873,NaN,NaN,0.45414444444444446,0.3847611111111111
07-13,0.021183333333333335,0.4969363636363637,NaN,NaN,NaN,0.35175555555555554
07-14,NaN,0.4666625,0.3318375,0.3369125,0.30183333333333334,NaN
07-15,0.0030444444444444442,0.4395833333333333,0.182,0.336175,0.4809,NaN
07-16,NaN,0.3660777777777778,NaN,0.3699,0.2481,NaN
07-17,0.02325,0.2808466666666667,0.2554,0.34220555555555554,0.40125,0.5244222222222222
07-18,NaN,0.2651777777777778,NaN,0.2978777777777778,0.3124222222222222,0.24255833333333332
07-19,0.005855555555555556,0.168025,NaN,NaN,0.22292222222222222,NaN
07-20,0.0027444444444444443,0.20356666666666667,0.1519125,0.1927,NaN,0.07953636363636364
07-21,0.001011111111111111,0.009955555555555556,0.16578888888888887,0.08685333333333334,0.28970555555555555,NaN
07-22,0.1024111111111111,0.027577777777777777,NaN,NaN,0.37546666666666667,0.03237857142857143
07-23,0.014366666666666668,7.222222222222222e-05,0.05567777777777778,0.23294444444444445,NaN,0.001811111111111111
07-24,0.0604,0.011335294117647058,NaN,0.2728285714285714,NaN,0.01567777777777778
07-25,0.00175,0.19993333333333332,NaN,0.16245,NaN,0.0011722222222222223
07-26,0.04214375,0.031455555555555556,NaN,0.15245,0.028249999999999997,-2.2222222222222217e-05
07-27,0.040355555555555554,NaN,-0.0004333333333333333,0.105,NaN,0.04034444444444445
07-28,0.0305,0.0988,0.13115,NaN,0.043375,0.034944444444444445
07-29,0.04267777777777778,0.031033333333333333,NaN,0.0316375,NaN,NaN
07-30,0.05195714285714286,0.0008388888888888889,NaN,NaN,NaN,NaN
07-31,0.019711764705882352,-0.0005555555555555556,0.11074444444444444,NaN,NaN,0.08079444444444445
08-01,0.0013222222222222222,NaN,NaN,0.2936888888888889,0.0036692307692307692,0.025425
08-02,NaN,NaN,NaN,0.01672222222222222,NaN,0.03717777777777778
08-03,NaN,NaN,NaN,0.02805,NaN,0.020033333333333334
08-04,NaN,NaN,NaN,NaN,NaN,0.10210000000000001
08-05,0.21756666666666666,-0.00032222222222222217,-0.0012000000000000003,0.0006277777777777778,NaN,0.052422222222222224
08-06,0.07062222222222223,0.0552,NaN,0.05728333333333333,NaN,0.0010666666666666667
08-07,NaN,NaN,NaN,0.05608571428571429,NaN,NaN
08-08,NaN,NaN,0.367175,NaN,NaN,0.0016555555555555555
08-09,0.01616,0.003277777777777778,NaN,NaN,NaN,0.0014388888888888889
08-10,0.049411111111111114,NaN,NaN,0.029705555555555554,NaN,NaN
08-11,0.08183,NaN,NaN,NaN,NaN,NaN
08-12,0.0064,NaN,NaN,0.012946153846153847,NaN,0.07995
08-13,NaN,0.0869,NaN,0.006883333333333333,NaN,NaN
08-14,NaN,NaN,NaN,NaN,0.020194444444444445,-0.003038888888888889
08-15,NaN,0.013638461538461539,NaN,0.2706,NaN,NaN
08-16,0.2106222222222222,NaN,NaN,NaN,NaN,NaN
08-17,NaN,NaN,0.073075,NaN,0.09925,NaN
08-18,NaN,0.097,0.0321375,0.07684444444444444,NaN,0.081
08-19,NaN,0.046811111111111116,NaN,NaN,NaN,NaN
08-20,NaN,NaN,NaN,NaN,NaN,NaN
08-21,0.07053333333333334,0.06430000000000001,0.0009444444444444445,0.0333,-0.0004166666666666667,NaN
08-22,0.11799375,NaN,NaN,NaN,0.0019222222222222223,NaN
08-23,0.015544444444444444,NaN,NaN,0.08567777777777778,NaN,0.0027055555555555557
08-24,0.0007277777777777777,NaN,0.0050999999999999995,0.0026705882352941177,1.1111111111111152e-05,0.001961111111111111
08-25,0.026275,NaN,0.0050625,0.010969999999999999,0.35862222222222223,0.0060875
08-26,NaN,NaN,0.045353846153846154,0.0023000000000000004,0.0036166666666666665,NaN
08-27,0.2349,NaN,-0.003327777777777778,NaN,0.0007333333333333333,0.0019444444444444444
08-28,0.07225714285714285,0.0723,0.00992,NaN,NaN,NaN
08-29,NaN,NaN,NaN,NaN,NaN,NaN
08-30,NaN,0.00135,NaN,-0.005963636363636364,NaN,0.0018388888888888888
08-31,NaN,0.18028,NaN,0.016,NaN,NaN
09-01,NaN,NaN,NaN,NaN,NaN,0.0011277777777777777
09-02,NaN,NaN,NaN,NaN,0.10750000000000001,0.038641666666666664
09-03,0.004090909090909091,NaN,NaN,0.198175,0.10852857142857143,NaN
09-04,NaN,NaN,NaN,NaN,0.007366666666666667,0.002738888888888889
09-05,NaN,NaN,NaN,NaN,NaN,NaN
09-06,NaN,NaN,0.030266666666666667,NaN,NaN,NaN
09-07,NaN,NaN,0.010816666666666667,NaN,NaN,NaN
09-08,NaN,NaN,0.015188888888888889,NaN,NaN,NaN
09-09,0.0014444444444444446,NaN,NaN,NaN,NaN,NaN
09-10,NaN,0.04081428571428571,NaN,0.0331,NaN,NaN
09-11,NaN,NaN,NaN,0.02008888888888889,-0.0084,NaN
09-12,-0.0046,NaN,NaN,NaN,NaN,NaN
09-13,NaN,NaN,NaN,NaN,NaN,NaN
09-14,NaN,NaN,NaN,0.244,NaN,NaN
09-15,0.05318666666666667,NaN,NaN,NaN,NaN,NaN
09-16,NaN,NaN,NaN,NaN,0.016428571428571428,NaN
09-17,NaN,0.056325,NaN,NaN,0.0024111111111111113,NaN
09-18,NaN,NaN,NaN,NaN,NaN,NaN
09-19,NaN,NaN,NaN,NaN,NaN,NaN
09-20,NaN,0.01345,NaN,NaN,0.022975,0.0491875
09-21,NaN,NaN,NaN,NaN,0.002938888888888889,NaN
09-22,NaN,0.1007,0.32585,NaN,0.028166666666666666,NaN
09-23,NaN,NaN,NaN,NaN,0.0016,NaN
09-24,NaN,NaN,NaN,NaN,NaN,NaN
09-25,NaN,NaN,NaN,NaN,NaN,NaN
09-26,NaN,NaN,0.0436,NaN,NaN,0.1234
09-27,0.0021833333333333336,NaN,NaN,NaN,0.08008333333333334,NaN
09-28,0.035500000000000004,NaN,NaN,0.010975,0.133275,0.3533
09-29,NaN,NaN,NaN,NaN,NaN,0.016833333333333332
09-30,NaN,NaN,0.01325,0.020144444444444444,NaN,NaN
10-01,NaN,NaN,NaN,NaN,NaN,NaN
10-02,0.03862307692307692,0.03112857142857143,NaN,NaN,NaN,NaN
10-03,0.021176470588235293,NaN,NaN,NaN,NaN,0.2369
10-04,0.065,NaN,NaN,NaN,NaN,0.06308888888888889
10-05,NaN,NaN,NaN,0.03961428571428571,NaN,NaN
10-06,0.025344444444444444,NaN,NaN,NaN,0.0967,NaN
10-07,0.029942857142857143,NaN,NaN,NaN,NaN,NaN
10-08,NaN,NaN,0.05166111111111111,NaN,NaN,0.10495882352941176
10-09,NaN,0.02526111111111111,NaN,NaN,0.12042,0.041041176470588234
10-10,NaN,0.029044444444444446,0.13494444444444445,NaN,0.0668,NaN
10-11,NaN,NaN,0.04354444444444444,0.1112,NaN,NaN
10-12,NaN,NaN,NaN,NaN,NaN,NaN
10-13,NaN,NaN,NaN,NaN,NaN,0.04203333333333333
10-14,NaN,NaN,0.05516666666666667,NaN,0.026755555555555557,NaN
10-15,0.1617,NaN,NaN,NaN,NaN,0.03598888888888889
10-16,0.19300588235294117,NaN,0.04103333333333333,NaN,0.4691,0.035277777777777776
10-17,NaN,NaN,NaN,NaN,NaN,NaN
10-18,NaN,NaN,0.03410833333333333,NaN,NaN,NaN
10-19,NaN,NaN,NaN,NaN,NaN,NaN
10-20,0.1810111111111111,NaN,NaN,NaN,NaN,NaN
10-21,NaN,0.0965,NaN,0.032766666666666666,0.04627222222222222,NaN
10-22,NaN,0.1745,NaN,NaN,0.05899444444444445,NaN
10-23,NaN,NaN,NaN,NaN,0.03389444444444444,NaN
10-24,0.15325,0.31508888888888886,0.27595000000000003,NaN,NaN,NaN
10-25,NaN,NaN,0.08236666666666667,NaN,0.050611111111111114,NaN
10-26,NaN,0.2657333333333333,0.11356666666666668,NaN,0.14094444444444446,0.2880666666666667
10-27,NaN,NaN,NaN,0.04694285714285714,NaN,NaN
10-28,NaN,NaN,NaN,NaN,NaN,0.10598333333333333
10-29,0.48503125,0.15058181818181818,NaN,NaN,NaN,0.2336
10-30,NaN,NaN,0.38835625,0.17807777777777778,NaN,0.29933333333333334
10-31,NaN,NaN,0.5314777777777778,0.3863111111111111,NaN,NaN
11-01,0.28607777777777776,0.246175,0.34474444444444446,NaN,0.10655,NaN
11-02,0.35783125,NaN,0.2631733333333333,NaN,NaN,0.23733888888888888
11-03,0.5282285714285714,0.39355555555555555,NaN,0.3016666666666667,NaN,NaN
11-04,NaN,0.5632375000000001,0.5721538461538461,NaN,NaN,0.5271444444444444
11-05,0.5970222222222222,NaN,0.5768,0.4155375,0.2724875,0.44839411764705883
11-06,NaN,NaN,0.5019722222222223,NaN,NaN,0.46892222222222224
11-07,NaN,NaN,NaN,NaN,NaN,NaN
11-08,NaN,NaN,NaN,NaN,0.29581111111111114,NaN
11-09,NaN,NaN,NaN,NaN,NaN,NaN
11-10,NaN,NaN,NaN,NaN,NaN,NaN
11-11,NaN,NaN,NaN,NaN,NaN,NaN
11-12,NaN,NaN,NaN,NaN,NaN,NaN
11-13,NaN,NaN,NaN,NaN,NaN,NaN
11-14,NaN,NaN,NaN,NaN,NaN,NaN
11-15,NaN,NaN,NaN,NaN,NaN,NaN
11-16,NaN,NaN,NaN,NaN,NaN,NaN
11-17,NaN,NaN,NaN,NaN,NaN,NaN
11-18,NaN,NaN,NaN,NaN,NaN,NaN
11-19,NaN,NaN,NaN,NaN,NaN,NaN
11-20,NaN,NaN,NaN,NaN,NaN,NaN
11-21,NaN,NaN,NaN,NaN,NaN,NaN
11-22,NaN,NaN,NaN,NaN,NaN,NaN
11-23,NaN,NaN,NaN,NaN,NaN,NaN
11-24,NaN,NaN,NaN,NaN,NaN,NaN
11-25,NaN,NaN,NaN,NaN,NaN,NaN
11-26,NaN,NaN,NaN,NaN,NaN,NaN
11-27,NaN,NaN,NaN,NaN,NaN,NaN
11-28,NaN,NaN,NaN,NaN,NaN,NaN
11-29,NaN,NaN,NaN,NaN,NaN,NaN
11-30,NaN,NaN,NaN,NaN,NaN,NaN
12-01,NaN,NaN,NaN,NaN,NaN,NaN
12-02,NaN,NaN,NaN,NaN,NaN,NaN
12-03,NaN,NaN,NaN,NaN,NaN,NaN
12-04,NaN,NaN,NaN,NaN,NaN,NaN
12-05,NaN,NaN,NaN,NaN,NaN,NaN
12-06,NaN,NaN,NaN,NaN,NaN,NaN
12-07,NaN,NaN,NaN,NaN,NaN,NaN
12-08,NaN,NaN,NaN,NaN,NaN,NaN
12-09,NaN,NaN,NaN,NaN,NaN,NaN
12-10,NaN,NaN,NaN,NaN,NaN,NaN
12-11,NaN,NaN,NaN,NaN,NaN,NaN
12-12,NaN,NaN,NaN,NaN,NaN,NaN
12-13,NaN,NaN,NaN,NaN,NaN,NaN
12-14,NaN,NaN,NaN,NaN,NaN,NaN
12-15,NaN,NaN,NaN,NaN,NaN,NaN
12-16,NaN,NaN,NaN,NaN,NaN,NaN
12-17,NaN,NaN,NaN,NaN,NaN,NaN
12-18,NaN,NaN,NaN,NaN,NaN,NaN
12-19,NaN,NaN,NaN,NaN,NaN,NaN
12-20,NaN,NaN,NaN,NaN,NaN,NaN
12-21,NaN,NaN,NaN,NaN,NaN,NaN
12-22,NaN,NaN,NaN,NaN,NaN,NaN
12-23,NaN,NaN,NaN,NaN,NaN,NaN
12-24,NaN,NaN,NaN,NaN,NaN,NaN
12-25,NaN,NaN,NaN,NaN,NaN,NaN
12-26,NaN,NaN,NaN,NaN,NaN,NaN
12-27,NaN,NaN,NaN,NaN,NaN,NaN
12-28,NaN,NaN,NaN,NaN,NaN,NaN
12-29,NaN,NaN,NaN,NaN,NaN,NaN
12-30,NaN,NaN,NaN,NaN,NaN,NaN
12-31,NaN,NaN,NaN,NaN,NaN,NaN
