system:time_start,B1,B1_interpolate
2013-01-03,0.3025,0.3025
2013-01-04,0.4997222222222222,0.4997222222222222
2013-01-05,,0.5483277777777777
2013-01-06,0.5969333333333333,0.5969333333333333
2013-01-07,,0.5483277777777777
2013-01-08,,0.4456305555555556
2013-01-09,0.3859888888888889,0.3859888888888889
2013-01-10,,0.35396944444444445
2013-01-11,0.32195,0.32195
2013-01-12,,0.39710436507936514
2013-01-13,,0.35396944444444445
2013-01-14,,0.43459999999999993
2013-01-15,,0.4836222222222222
2013-01-16,0.4836222222222222,0.4836222222222222
2013-01-17,,0.49822777777777777
2013-01-18,0.5128333333333334,0.5128333333333334
2013-01-19,0.5670111111111111,0.5670111111111111
2013-01-20,0.4696888888888889,0.4696888888888889
2013-01-21,,0.5356277777777778
2013-01-22,0.6015666666666667,0.6015666666666667
2013-01-23,,0.5702277777777778
2013-01-24,,0.5702277777777778
2013-01-25,,0.5734888888888889
2013-01-26,,0.5618428571428572
2013-01-27,0.5734888888888889,0.5734888888888889
2013-01-28,,0.5644611111111111
2013-01-29,0.5554333333333333,0.5554333333333333
2013-01-30,,0.4942333333333333
2013-01-31,0.4330333333333333,0.4330333333333333
2013-02-01,,0.4434666666666667
2013-02-02,0.4539,0.4539
2013-02-03,0.5505888888888889,0.5505888888888889
2013-02-04,,0.5505888888888889
2013-02-05,,0.6447444444444445
2013-02-06,,0.6447444444444445
2013-02-07,0.7389,0.7389
2013-02-08,0.5390333333333334,0.5390333333333334
2013-02-09,0.6648111111111111,0.6648111111111111
2013-02-10,0.6798333333333333,0.6798333333333333
2013-02-11,,0.6419248677248677
2013-02-12,,0.6648111111111111
2013-02-13,,0.6299296296296296
2013-02-14,,0.6299296296296296
2013-02-15,0.5761555555555555,0.5761555555555555
2013-02-16,0.6338,0.6338
2013-02-17,0.504,0.504
2013-02-18,,0.5300222222222222
2013-02-19,0.5560444444444445,0.5560444444444445
2013-02-20,0.6887333333333333,0.6887333333333333
2013-02-21,0.5992888888888889,0.5992888888888889
2013-02-22,0.599,0.599
2013-02-23,0.6052111111111111,0.6052111111111111
2013-02-24,0.5853555555555555,0.5853555555555555
2013-02-25,0.6404555555555556,0.6404555555555556
2013-02-26,,0.6283388888888889
2013-02-27,0.6162222222222222,0.6162222222222222
2013-02-28,0.6032111111111111,0.6032111111111111
2013-03-01,,0.6119155603655604
2013-03-02,,0.6078888888888888
2013-03-03,,0.6078888888888888
2013-03-04,,0.6042333333333333
2013-03-05,,0.6280322751322751
2013-03-06,,0.617960582010582
2013-03-07,0.6042333333333333,0.6042333333333333
2013-03-08,,0.6411333333333333
2013-03-09,,0.6574925925925926
2013-03-10,0.6780333333333334,0.6780333333333334
2013-03-11,0.6902111111111111,0.6902111111111111
2013-03-12,,
2013-03-13,,
2013-03-14,,
2013-03-15,,
2013-03-16,,
2013-03-17,,
2013-03-18,,
2013-03-19,,
2013-03-20,,0.6701333333333334
2013-03-21,,
2013-03-22,,
2013-03-23,,
2013-03-24,,
2013-03-25,,
2013-03-26,,
2013-03-27,,
2013-03-28,,
2013-03-29,0.6500555555555556,0.6500555555555556
2013-03-30,0.6498444444444444,0.6498444444444444
2013-03-31,0.6647888888888889,0.6647888888888889
2013-04-01,,0.6780111111111111
2013-04-02,0.6912333333333334,0.6912333333333334
2013-04-03,,0.6805888888888889
2013-04-04,,0.6832777777777778
2013-04-05,,0.6805888888888889
2013-04-06,,0.6868380952380952
2013-04-07,0.6805888888888889,0.6805888888888889
2013-04-08,,0.6792444444444444
2013-04-09,0.6779,0.6779
2013-04-10,0.7150333333333333,0.7150333333333333
2013-04-11,,0.7026722222222221
2013-04-12,0.6903111111111111,0.6903111111111111
2013-04-13,0.6480111111111111,0.6480111111111111
2013-04-14,0.6773666666666667,0.6773666666666667
2013-04-15,0.6958777777777778,0.6958777777777778
2013-04-16,,0.6856444444444444
2013-04-17,,0.6958777777777778
2013-04-18,0.6836888888888889,0.6836888888888889
2013-04-19,0.7574,0.7574
2013-04-20,,0.7017888888888889
2013-04-21,,0.6742111111111111
2013-04-22,0.6642777777777777,0.6642777777777777
2013-04-23,0.6742111111111111,0.6742111111111111
2013-04-24,,0.6209697068034984
2013-04-25,,0.635862026892768
2013-04-26,0.5244202315216064,0.5244202315216064
2013-04-27,0.635862026892768,0.635862026892768
2013-04-28,0.5942777777777778,0.5942777777777778
2013-04-29,,0.5942777777777778
2013-04-30,,0.5921977285006976
2013-05-01,,0.5942777777777778
2013-05-02,,0.5788990738683829
2013-05-03,,0.5788990738683829
2013-05-04,,0.5640108203126756
2013-05-05,0.5817851847738027,0.5817851847738027
2013-05-06,,0.560634259053568
2013-05-07,,0.560634259053568
2013-05-08,,0.5264388887654741
2013-05-09,0.5394833333333333,0.5394833333333333
2013-05-10,,0.49659166666666665
2013-05-11,0.4537,0.4537
2013-05-12,,0.5456329710866087
2013-05-13,,0.5264388887654741
2013-05-14,,0.5241935185185186
2013-05-15,,0.6222888888888889
2013-05-16,,0.5692700900183153
2013-05-17,,0.5692700900183153
2013-05-18,0.6222888888888889,0.6222888888888889
2013-05-19,0.6246666666666666,0.6246666666666666
2013-05-20,0.5275213337606854,0.5275213337606854
2013-05-21,,0.6102313334045586
2013-05-22,,0.5981737779202284
2013-05-23,,0.5275213337606854
2013-05-24,,0.5311484955794327
2013-05-25,0.6423333333333333,0.6423333333333333
2013-05-26,,0.5162057559036073
2013-05-27,,0.5162057559036073
2013-05-28,0.3900781784738813,0.3900781784738813
2013-05-29,,0.4674895898281009
2013-05-30,,0.4674895898281009
